Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid,GP,IDFANGRAPHS,Position,R_z,HR_z,SB_z,RBI_z,OBP_z,SLG_z,z-score,FVARz,SGP,R_sgp,HR_sgp,SB_sgp,RBI_sgp,OBP_sgp,SLG_sgp
Juan Soto,WSN,154,665,543,165,34,3,39,118,131,113,113,4,14,4,0.303,0.424,0.594,1.018,0.414,-2.3,0.3,5.9,3.7,20123,154,20123,OF,2.260630738,1.712709122,0.613966213,2.893490811,2.718347552,2.044093641,12.24323808,14.16530375,16.6426227,3.883915447,2.527219346,1.968177779,4.434998851,2.089770939,1.738540335
Ronald Acuna Jr.,ATL,156,672,569,160,29,2,42,125,106,88,169,10,30,8,0.282,0.385,0.559,0.944,0.391,3.8,3.3,5.6,1.7,18401,156,18401,OF,2.654044224,2.026374206,2.415644986,1.619547527,1.42527354,1.555150714,11.6960352,13.61810086,17.17463863,4.114317211,2.721620835,4.217523812,3.588625024,1.179575882,1.352975869
Mike Trout,LAA,157,679,538,151,27,4,43,116,116,121,149,12,12,3,0.281,0.421,0.586,1.007,0.41,-3.3,1.3,7.4,6.1,10155,157,10155,OF,2.148226885,2.130929233,0.388756367,2.12912484,2.673549712,1.898220924,11.36880796,13.29087363,15.90011345,3.818086372,2.786421331,1.687009525,3.927174555,2.058308457,1.62311321
Cody Bellinger,LAD,151,651,558,154,29,4,40,101,120,85,127,3,15,4,0.277,0.373,0.555,0.928,0.379,1.1,0.9,5.4,16.2,15998,151,15998,1B/OF,1.305197988,1.81726415,0.726571136,2.332955766,0.985577402,1.459029678,8.626596121,10.54866179,14.23161221,3.324368307,2.592019842,2.108761906,4.062594367,0.867258519,1.276609269
Mookie Betts,LAD,157,679,583,164,34,3,33,118,95,82,105,5,22,5,0.282,0.373,0.522,0.895,0.372,14.5,4,6.2,3.9,13611,157,13611,OF,2.260630738,1.085378956,1.514805599,1.059012481,1.029458222,0.957482052,7.906768049,9.828833718,14.11643198,3.883915447,2.13841637,3.092850796,3.216220541,0.901863895,0.883164936
Bryce Harper,PHI,154,665,538,138,29,2,36,105,111,115,162,6,14,5,0.256,0.389,0.521,0.91,0.376,-1.7,-0.6,3.9,19,11579,154,11579,OF/DH,1.530005694,1.399044039,0.613966213,1.874336184,1.544248711,0.866808523,7.828409364,9.750475033,13.58448022,3.456026457,2.332817858,1.968177779,3.757899789,1.262683944,0.806874394
Jose Ramirez,CLE,154,665,574,160,41,3,34,103,105,78,98,6,26,8,0.279,0.368,0.539,0.907,0.375,1.8,2.6,5.7,10.9,13510,154,13510,3B,1.417601841,1.189933983,1.965225292,1.568589795,0.839789406,1.23032539,8.211465708,9.544007413,14.66705215,3.390197382,2.203216866,3.655187304,3.554770071,0.766431746,1.097248779
Christian Yelich,MIL,156,672,566,155,30,3,35,106,95,93,162,7,19,5,0.275,0.382,0.524,0.906,0.376,-0.8,2.4,4.3,11.1,11477,156,11477,OF/DH,1.58620762,1.294489011,1.176990829,1.059012481,1.323577159,0.962609583,7.402886685,9.324952355,13.63776944,3.488940995,2.268017362,2.671098415,3.216220541,1.107989888,0.885502244
Yordan Alvarez,HOU,131,600,521.3778497,146.435538,30.51993679,0.136333802,38.17063411,89.93082073,106.4713401,69.40160972,150.9799961,4.276603044,4.311038833,1.137551627,0.279894893,0.365585765,0.559902887,0.925565893,0.382,0,-0.4,3.7,77.9,19556,139.996827,19556,DH,0.683088788,1.625994749,-0.477058516,1.643565948,0.681246594,1.437901034,5.594738597,8.381630614,11.54656643,2.960031388,2.473476025,0.606063631,3.604582221,0.644508904,1.257904258
Giancarlo Stanton,NYY,136,600,515.6828544,128.703832,24.55270429,1.049575928,41.42568513,89.42938936,113.2623055,70.87331263,191.5381804,7.100582925,4.11310503,2.050018774,0.249874507,0.34619846,0.541242868,0.887469416,0.365,0,-1,2.6,120.4,4949,139.2715735,4949,DH,0.654907379,1.966326699,-0.499346836,1.989618139,0.094455305,1.138254966,5.344215651,8.131107667,11.28873436,2.943527007,2.684404946,0.57823728,3.834490036,0.228262907,1.019812182
Marcell Ozuna,ATL,149,644,572,161,28,2,35,89,120,66,138,2,5,2,0.282,0.357,0.52,0.876,0.364,1.5,0.1,3.4,45.7,10324,149,10324,OF/DH,0.63077487,1.294489011,-0.399478096,2.332955766,0.454825696,0.905454856,5.219022102,7.141087771,11.29557914,2.929393854,2.268017362,0.702920635,4.062594367,0.491596246,0.841056677
Alex Bregman,HOU,154,665,555,154,37,2,31,100,99,95,88,9,6,2,0.278,0.389,0.519,0.908,0.381,-1.4,-0.2,6,43,17678,154,17678,3B,1.248996061,0.8762689,-0.286873173,1.262843407,1.544248711,0.861828463,5.507312369,6.839854075,11.5629052,3.291453769,2.008815378,0.843504762,3.351640353,1.262683944,0.804806991
Kyle Tucker,HOU,151,651,584,156,31,7,29,94,102,55,138,5,23,6,0.268,0.333,0.495,0.828,0.344,3,1.8,3.5,31.7,18345,151,18345,OF/DH,0.911784502,0.667158845,1.627410523,1.415716601,-0.32800085,0.494079752,4.788149373,6.710215043,12.11892103,3.093966543,1.879214386,3.233434923,3.453205212,-0.05946705,0.518567016
Aaron Judge,NYY,134,600,500.6615963,126.1959505,20.88632271,1.077848423,36.56712098,96.46354099,95.44003429,87.45303657,182.8162369,5.165183224,4.252813613,3.073602647,0.25180148,0.367924691,0.518642838,0.885796264,0.37,7.4,-0.3,4.4,54.5,15640,139.1575754,15640,OF,1.050240252,1.458339389,-0.483614962,1.081435631,0.752038377,0.77103307,4.629471757,6.551537426,10.79495326,3.175052856,2.369567579,0.597878089,3.231117881,0.69472573,0.726611126
Eloy Jimenez,CHW,149,644,595,170,32,2,39,87,115,40,150,4,1,0,0.286,0.333,0.546,0.879,0.362,-3.7,0.1,3.2,31.9,17484,149,17484,OF,0.518371017,1.712709122,-0.849897789,2.078167109,-0.324846557,1.398607493,4.533110395,6.455176064,10.59688926,2.863564779,2.527219346,0.140584127,3.893319602,-0.058871618,1.231073021
Manny Machado,SDP,156,672,597,163,30,2,35,93,113,66,116,3,10,5,0.273,0.345,0.507,0.852,0.352,3.3,-0.2,4.3,21.1,11493,156,11493,3B,0.855582576,1.294489011,0.16354652,1.976251646,0.069321796,0.716634301,5.075825851,6.408367556,11.4809301,3.061052005,2.268017362,1.405841271,3.825609696,0.225095958,0.695313804
Nelson Cruz,MIN,133,600,525.1461846,139.8583027,23.19752595,0.107414511,35.92231778,82.09701027,99.73499522,60.89217735,155.4993909,9.217929671,1.245060899,0.108374009,0.265991431,0.35100333,0.520059547,0.871123734,0.36,0,-2.1,2.1,92,2434,140.0884092,2434,DH,0.242813549,1.390921973,-0.822302726,1.300297096,0.239883244,0.831253673,3.182866808,5.969758825,9.690229614,2.702185139,2.327784012,0.1750358,3.376523581,0.331423603,0.77727748
J.D. Martinez,BOS,149,644,567,153,33,2,32,88,100,67,155,4,3,1,0.271,0.349,0.505,0.854,0.353,0,-1.5,1.8,94.1,6184,149,6184,DH,0.574572944,0.980823928,-0.624687943,1.313801138,0.194934945,0.646589833,3.086034845,5.872926861,9.721834717,2.896479317,2.073615874,0.421752381,3.385495306,0.308106958,0.636384881
Rafael Devers,BOS,152,658,601,171,41,3,33,99,106,47,137,5,6,4,0.284,0.339,0.526,0.865,0.357,-4.4,0.3,3.6,42.1,17350,152,17350,3B,1.192794135,1.085378956,-0.286873173,1.619547527,-0.13199973,1.058308383,4.537156098,5.869697803,10.87357549,3.258539231,2.13841637,0.843504762,3.588625024,0.080337032,0.964153072
Joey Gallo,TEX,149,644,540,113,24,2,41,90,100,93,240,8,7,3,0.209,0.332,0.488,0.82,0.342,3,0.8,2.2,165.1,14128,149,14128,OF,0.686976797,1.921819178,-0.17426825,1.313801138,-0.357332901,0.344487471,3.735483433,5.657549102,10.30074512,2.962308392,2.656820338,0.98408889,3.385495306,-0.081807779,0.393839976
Franmil Reyes,CLE,152,658,585,150,26,0,37,87,105,63,192,3,1,1,0.257,0.329,0.493,0.822,0.342,0,-1.1,1.4,151.1,14566,152,14566,DH,0.518371017,1.503599067,-0.849897789,1.568589795,-0.463925417,0.460437535,2.737174207,5.524066224,9.295114414,2.863564779,2.397618354,0.140584127,3.554770071,-0.153660677,0.49223776
Luis Robert,CHW,149,644,589,154,27,5,31,86,95,40,181,8,25,9,0.261,0.314,0.48,0.794,0.331,3.9,0.8,3.5,35.5,20043,149,20043,OF,0.462169091,0.8762689,1.852620369,1.059012481,-0.942087091,0.237828459,3.545812209,5.467877879,11.3933686,2.830650241,2.008815378,3.514603177,3.216220541,-0.494658677,0.317737943
Michael Conforto,NYM,151,651,552,143,27,1,30,92,96,83,160,11,7,4,0.26,0.365,0.478,0.843,0.356,0.2,-0.1,3.4,73.1,16376,151,16376,OF,0.79938065,0.771713872,-0.17426825,1.109970213,0.722861752,0.189593987,3.419252224,5.341317893,10.16161362,3.028137468,1.944014882,0.98408889,3.250075494,0.681913405,0.273383485
Anthony Rendon,LAA,154,665,564,158,36,2,28,92,101,84,99,11,3,1,0.28,0.38,0.501,0.881,0.369,3.5,0.4,5.5,41.2,12861,154,12861,3B,0.79938065,0.562603817,-0.624687943,1.36475887,1.24233758,0.576568065,3.920961038,5.253502743,10.31441268,3.028137468,1.81441389,0.421752381,3.419350259,1.05000443,0.58075425
George Springer,TOR,146,630,546,146,23,3,31,101,88,68,125,8,6,4,0.268,0.355,0.487,0.843,0.355,-1.9,-0.2,3.8,49.5,12856,146,12856,OF,1.305197988,0.8762689,-0.286873173,0.702308362,0.380624646,0.332340902,3.309867624,5.231933294,9.977807144,3.324368307,2.008815378,0.843504762,2.979235869,0.436687487,0.385195341
Eugenio Suarez,CIN,156,672,577,141,25,2,37,88,109,80,184,9,4,2,0.244,0.342,0.487,0.829,0.346,-1.7,-1.5,2.9,73.5,12552,156,12552,3B,0.574572944,1.503599067,-0.51208302,1.772420721,-0.032374585,0.351872466,3.658007593,4.990549298,10.10568033,2.896479317,2.397618354,0.562336508,3.690189883,0.153509963,0.405546308
Shohei Ohtani,LAA,115,597,529.023787,135.5319333,26.60586905,2.413132734,27.54737609,79.91157797,90.51921239,57.27760521,160.1515033,3.838191044,14.94254192,4.416823113,0.255608933,0.330296984,0.476668912,0.807201137,0.342,0,0.6,1.4,213.8,19755,142.2631122,19755,DH,0.119988043,0.515279711,0.720101073,0.83068171,-0.385070273,0.160447646,1.961427911,4.748319927,9.714210407,2.630252645,1.785083636,2.100684212,3.064523686,-0.112612799,0.246279027
Nolan Arenado,STL,152,658,584,162,32,2,33,89,102,63,101,4,2,2,0.277,0.348,0.509,0.858,0.353,8,0,4.8,38.8,9777,152,9777,3B,0.63077487,1.085378956,-0.737292866,1.415716601,0.166733389,0.735224385,3.296535334,4.629077039,9.80146676,2.929393854,2.13841637,0.281168254,3.453205212,0.290934971,0.708348098
Byron Buxton,MIN,136,600,552.5231135,141.650074,31.55978277,4.049167425,30.35818167,83.55592063,89.54107429,34.91770731,156.4102549,5.104326247,21.15967176,5.046485882,0.256774619,0.305600858,0.491091266,0.796816587,0.33,7.7,2.7,3.6,112.8,14161,139.2574161,14161,OF,0.324807121,0.809163567,1.420180502,0.780838011,-1.134303387,0.403123007,2.603808822,4.525874492,10.52234462,2.750204499,1.967225232,2.974713983,3.031408867,-0.643368789,0.442160825
Teoscar Hernandez,TOR,147,637,574,139,27,3,36,85,98,54,204,4,11,5,0.242,0.309,0.489,0.798,0.331,-0.9,0,1.6,81.9,13066,147,13066,OF,0.405967164,1.399044039,0.276151443,1.211885676,-1.092889819,0.383841664,2.584000167,4.506065836,9.821859946,2.797735704,2.332817858,1.546425398,3.3177854,-0.603167347,0.430262934
Kyle Schwarber,WSN,121,600,511.7694591,122.5629626,22.49864229,2.307296406,34.23863545,84.72450392,92.63171432,75.73567067,161.064093,5.652039043,3.997948471,2.290536764,0.238966368,0.343755361,0.497695412,0.843103672,0.352,0,-0.8,2,195,16478,141.3588504,16478,OF/DH,0.390483754,1.21488452,-0.512314032,0.938330016,0.020510569,0.472212991,2.524107818,4.446173487,9.371960307,2.788667878,2.218680562,0.562048096,3.13604234,0.175809504,0.490711928
Matt Chapman,OAK,151,651,574,141,34,4,36,94,97,63,174,8,2,2,0.246,0.328,0.508,0.835,0.347,9.8,0.3,5.1,115.8,16505,151,16505,3B,0.911784502,1.399044039,-0.737292866,1.160927944,-0.492198131,0.70550548,2.947770968,4.280312673,9.50029291,3.093966543,2.332817858,0.281168254,3.283930447,-0.175307747,0.683717555
Randy Arozarena,TBR,144,623,552,144,28,3,26,83,78,48,151,17,21,10,0.261,0.336,0.463,0.799,0.337,-3.9,-0.8,2.1,58.7,19290,144,19290,OF,0.293563311,0.353493761,1.402200676,0.192731048,-0.22110266,-0.054618043,1.966268093,3.888333763,10.09975273,2.731906628,1.684812898,2.952266669,2.640686339,0.009634454,0.080445747
Max Muncy,LAD,131,600,497.0053842,118.5190066,20.66577332,1.121278018,30.25900314,87.21398176,94.32851475,89.92398097,151.0665664,7.280907983,4.208056973,1.064770175,0.238935454,0.361881968,0.46651056,0.828004307,0.352,1.1,0,2.4,94.3,13301,139.362503,13301,1B/2B/3B,0.530397204,0.798793953,-0.48865478,1.024795116,0.5691446,0.001121646,2.43559774,3.768139445,9.295311079,2.87060789,1.960798414,0.591586016,3.193487439,0.564988285,0.113843034
Jorge Soler,KCR,143,616,532,129,26,1,34,78,91,71,181,8,3,1,0.243,0.339,0.484,0.823,0.345,-0.1,-0.4,1.8,142.3,14221,143,14221,OF/DH,0.012553679,1.189933983,-0.624687943,0.855181556,-0.125786023,0.276447442,1.583642694,3.505708364,8.687326615,2.56733394,2.203216866,0.421752381,3.080800728,0.075547651,0.338675049
Joc Pederson,CHC,130,600,524.0770448,127.83358,25.86594255,3.163891417,31.19393891,86.18640209,90.1369143,58.05902436,132.0341829,11.34775416,3.532239184,2.154952941,0.244115396,0.331269526,0.48710422,0.818788625,0.342,1,-0.5,2,291.6,11899,140.8580535,11899,OF/DH,0.472645247,0.896546188,-0.56475519,0.811200667,-0.357395456,0.320139286,1.578380741,3.500446411,8.686052365,2.83678558,2.021382715,0.496576762,3.051581003,-0.092261739,0.371988044
Max Kepler,MIN,146,630,548,136,32,2,30,91,81,69,111,7,6,3,0.248,0.337,0.475,0.812,0.342,5.8,0,3,187.1,12144,146,12144,OF,0.743178723,0.771713872,-0.286873173,0.345604242,-0.191417496,0.139647101,1.521853269,3.443918938,8.790407495,2.99522293,1.944014882,0.843504762,2.742251198,0.032206571,0.233207152
Wil Myers,SDP,144,623,554,134,29,3,28,78,92,61,184,4,14,5,0.243,0.32,0.459,0.779,0.328,-1.9,1,1.5,136.3,10047,144,10047,OF,0.012553679,0.562603817,0.613966213,0.906139287,-0.723934765,-0.120132825,1.251195405,3.173261075,9.147499224,2.56733394,1.81441389,1.968177779,3.114655681,-0.34617578,0.029093714
Eddie Rosario,CLE,128,600,556.2155277,152.3794565,29.1924825,1.192572415,28.40287822,81.09402246,95.03587431,35.59435362,97.44016494,1.408611134,6.625381042,2.182069705,0.272707257,0.31841336,0.487519125,0.806419968,0.334,-0.9,0.1,1.6,106.1,12155,140.7582129,12155,OF,0.186443701,0.60472676,-0.216452189,1.060840555,-0.746510213,0.347293517,1.236342131,3.1584078,8.688910633,2.669172259,1.840520598,0.93142341,3.217435064,-0.368284003,0.398643305
Trent Grisham,SDP,144,623,530,130,23,6,23,87,74,79,141,6,16,5,0.246,0.348,0.44,0.788,0.335,5.6,0.2,3.4,67.6,18564,144,18564,OF,0.518371017,0.039828678,0.83917606,-0.011099878,0.156021419,-0.412440589,1.129856707,3.051922376,9.177722404,2.863564779,1.490411409,2.249346033,2.505266526,0.27649213,-0.207358475
Tommy Pham,SDP,128,600,517.2155277,135.3794565,24.1924825,2.192572415,20.40287822,83.09402246,71.03587431,71.59435362,129.4401649,5.408611134,19.62538104,5.182069705,0.261647257,0.35712336,0.434984125,0.792594968,0.339,0.6,1.7,2.1,132,2967,140.7582129,2967,OF/DH,0.298847554,-0.231713462,1.247411814,-0.162144999,0.42511684,-0.47928974,1.098228008,3.020293678,9.420495509,2.735001334,1.32211663,2.759017062,2.40491619,0.462820821,-0.263376528
Ian Happ,CHC,139,602,516,127,24,2,28,81,79,76,177,5,9,4,0.246,0.346,0.464,0.809,0.341,-2.8,-0.3,2.3,164.8,17919,139,17919,OF,0.181159458,0.562603817,0.050941597,0.243688779,0.088858898,-0.036597854,1.090654694,3.012720364,8.732594015,2.666077553,1.81441389,1.265257144,2.674541292,0.224700398,0.087603739
Charlie Blackmon,COL,136,600,539.5231135,154.650074,29.55978277,5.049167425,23.35818167,87.55592063,76.54107429,46.91770731,112.4102549,7.104326247,5.159671755,4.046485882,0.287154619,0.349700858,0.488151266,0.837976587,0.35,-4.4,-0.9,0.8,87,7859,139.2574161,7859,OF/DH,0.549614827,0.077278373,-0.381498271,0.118387503,0.200461611,0.346580009,0.910824053,2.832889722,8.411025738,2.881862649,1.513621759,0.72536795,2.591294477,0.303459492,0.395419411
Ramon Laureano,OAK,149,644,568,140,30,2,27,84,84,53,175,15,13,4,0.247,0.324,0.449,0.773,0.327,1.9,1.5,3.3,146.2,17128,149,17128,OF,0.349765238,0.458048789,0.50136129,0.498477436,-0.617223652,-0.29040094,0.90002816,2.82209383,8.818227588,2.764821166,1.749613394,1.827593652,2.843816057,-0.265297067,-0.102319613
Josh Donaldson,MIN,136,600,499.5474124,120.7341842,23.60573575,0.044101098,29.45781932,81.532357,82.57400536,89.06326581,144.4787514,7.102148358,3.075657081,1.023552791,0.242260165,0.362593443,0.467802022,0.830254293,0.352,1.1,-1.1,3.4,191.6,5038,139.0409102,5038,3B,0.211078947,0.715026157,-0.616168583,0.425811985,0.590678651,0.020215132,1.346642289,2.679183994,8.53019121,2.683599838,1.908881305,0.432388566,2.795539075,0.58026367,0.129518756
A.J. Pollock,LAD,130,600,545.0770448,137.83358,26.86594255,2.163891417,28.19393891,79.18640209,90.1369143,40.05902436,134.0341829,7.347754156,9.532239184,3.154952941,0.251582063,0.310736193,0.469370887,0.780521958,0.324,-0.1,0.1,1.4,189.1,9256,140.8580535,9256,OF/DH,0.079231762,0.582881105,0.110874349,0.811200667,-0.978873339,0.048342926,0.65365747,2.575723139,8.452403455,2.606383816,1.826981227,1.340081525,3.051581003,-0.533113002,0.160488886
Nicholas Castellanos,CIN,146,630,571,149,39,4,27,86,85,47,157,6,3,2,0.261,0.323,0.486,0.809,0.337,-8.4,-0.9,0.7,83.1,11737,146,11737,OF,0.462169091,0.458048789,-0.624687943,0.549435168,-0.636339162,0.331250972,0.539876914,2.461942583,7.98564181,2.830650241,1.749613394,0.421752381,2.87767101,-0.282389697,0.388344481
Anthony Santander,BAL,146,630,585,154,35,3,29,79,94,34,118,6,4,3,0.264,0.309,0.482,0.791,0.327,1.4,-1.4,1.7,162.5,14551,146,14551,OF,0.068755605,0.667158845,-0.51208302,1.00805475,-1.081260828,0.270642316,0.421267668,2.343333337,7.970065678,2.600248478,1.879214386,0.562336508,3.182365587,-0.596985965,0.342886685
Aaron Hicks,NYY,134,600,498.6615963,119.1959505,23.88632271,3.077848423,22.56712098,84.46354099,77.44003429,91.45303657,131.8162369,3.165183224,8.252813613,4.073602647,0.238244813,0.357273025,0.431492838,0.78896293,0.339,-1.7,0.7,2.9,278.8,5297,139.1575754,5297,OF,0.375817134,-0.005431,-0.033195269,0.164196466,0.429646725,-0.513863379,0.417170677,2.339236347,8.195084971,2.780078403,1.462360634,1.160214598,2.621728726,0.466034138,-0.295331528
Jeff McNeil,NYM,152,658,589,172,37,3,19,85,77,47,84,15,7,4,0.293,0.359,0.459,0.818,0.346,-3.2,-1.2,3.3,89.8,15362,152,15362,2B/3B/OF,0.405967164,-0.378391433,-0.17426825,0.141773316,0.531851645,-0.126985381,0.399947061,2.322012731,8.198999482,2.797735704,1.231209425,0.98408889,2.606831385,0.548332452,0.030801626
DJ LeMahieu,NYY,151,651,590,177,28,3,20,96,76,49,90,4,7,3,0.3,0.355,0.458,0.813,0.345,4.6,-0.1,4.1,27,9874,151,9874,1B/2B/3B,1.024188355,-0.273836405,-0.17426825,0.090815585,0.394467189,-0.14458275,0.916783724,2.249325429,8.4802679,3.159795618,1.296009921,0.98408889,2.572976432,0.450232013,0.017165026
Jesse Winker,CIN,117,600,511.1849076,137.2005921,26.47826213,1.3933394,22.86545338,78.44736502,75.32859433,71.34165846,118.282039,9.834609975,4.277374042,2.371887057,0.266956951,0.368606862,0.460370128,0.8299727,0.357,-3.5,-1.1,1.7,213,13590,143.0593285,13590,OF/DH,0.037696455,0.025761152,-0.480849337,0.056602275,0.772685485,-0.091092766,0.320803265,2.242868934,7.968086112,2.582058753,1.481692722,0.601330896,2.550246025,0.709371953,0.043385763
Lourdes Gurriel Jr.,TOR,138,600,556.3846306,149.1041975,30.23324282,1.020486427,28.14924236,75.64830026,89.64211429,31.38237804,138.0042729,6.04346927,7.066529898,4.019369118,0.268806091,0.311200357,0.477738027,0.788990245,0.329,0.3,-1,1.7,88.9,19238,139.3572567,19238,OF,-0.119616377,0.578207856,-0.166776656,0.78598678,-0.964824563,0.186893634,0.299870675,2.221936344,8.091152454,2.48992883,1.824084869,0.993441937,3.034829571,-0.523147369,0.272014615
Whit Merrifield,KCR,154,665,610,171,35,4,16,87,65,41,106,6,26,8,0.281,0.331,0.428,0.759,0.321,1.8,1.8,1.9,42,11281,154,11281,2B/OF,0.518371017,-0.692056517,1.965225292,-0.46971946,-0.401400797,-0.688832359,0.231587176,2.153652846,9.242464116,2.863564779,1.036807937,3.655187304,2.200571949,-0.107917363,-0.405750489
Brandon Lowe,TBR,131,600,530.938562,130.2877035,27.53940261,3.135210419,26.9849996,78.27878173,85.2379543,55.5236951,168.6282009,7.286897179,6.439097327,2.127836176,0.245040202,0.324607359,0.464930981,0.789880616,0.332,0.9,0.9,2.7,71.8,18882,139.9578942,18882,2B/OF,0.028221749,0.456480422,-0.237428652,0.561560779,-0.5590378,-0.022740823,0.227055675,2.149121344,7.982338589,2.576509911,1.74864136,0.905234877,2.885726942,-0.235298659,0.101524158
Hunter Renfroe,BOS,110,576,517.6926121,122.0839501,28.66485638,1.409728542,29.98484727,72.96600523,90.84228576,44.6475609,155.0854573,4.869385391,6.330597961,1.387382351,0.234383844,0.303604668,0.473368628,0.778053711,0.321,1.1,-0.1,0.9,448.1,15464,137.1451338,15464,OF,-0.270366525,0.770129578,-0.249646215,0.847144796,-1.148318823,0.10636932,0.055312131,1.977377801,7.850996433,2.401642329,1.943032977,0.889981588,3.07546132,-0.66047962,0.201357838
Mike Yastrzemski,SFG,149,644,567,144,31,6,23,85,80,63,164,7,7,4,0.254,0.334,0.453,0.786,0.331,2.3,-0.5,2.1,138.1,14854,149,14854,OF,0.405967164,0.039828678,-0.17426825,0.294646511,-0.292360213,-0.223017351,0.050796539,1.972862208,7.895297626,2.797735704,1.490411409,0.98408889,2.708396245,-0.035935457,-0.049399164
Andrew McCutchen,PHI,136,600,516.5231135,127.650074,23.55978277,1.049167425,24.35818167,82.55592063,75.54107429,70.91770731,133.4102549,6.104326247,8.159671755,3.046485882,0.247954619,0.342840858,0.437191266,0.780156587,0.333,-3.5,-1.3,1.1,201.6,9847,139.2574161,9847,OF/DH,0.268605195,0.1818334,-0.043683501,0.067429772,-0.007168499,-0.445039162,0.021977205,1.944042874,7.920080234,2.717289961,1.578422256,1.147120331,2.557439524,0.156175093,-0.23636693
Kris Bryant,CHC,146,630,538,136,30,3,25,91,74,70,149,15,3,2,0.253,0.353,0.461,0.814,0.345,-2.4,0.7,2.9,126.7,15429,146,15429,3B,0.743178723,0.248938733,-0.624687943,-0.011099878,0.317064408,-0.085264462,0.588129582,1.920671287,7.987422581,2.99522293,1.620012402,0.421752381,2.505266526,0.391745163,0.053423179
Starling Marte,MIA,146,630,578,158,30,4,17,82,71,31,113,15,24,8,0.273,0.324,0.428,0.753,0.319,-3.1,1.7,2.1,50,9241,146,9241,OF,0.237361385,-0.587501489,1.740015446,-0.163973072,-0.604559043,-0.653308912,-0.031965686,1.890099983,8.932456625,2.698992091,1.101608433,3.37401905,2.403701667,-0.259918535,-0.38594608
Justin Upton,LAA,131,600,525.938562,121.2877035,22.53940261,0.135210419,28.9849996,77.27878173,90.2379543,58.5236951,175.6282009,9.286897179,5.439097327,3.127836176,0.229920202,0.316102359,0.442250981,0.759640616,0.321,-3.8,-0.5,0.9,399.3,5222,139.9578942,5222,OF,-0.027980178,0.665590477,-0.350033576,0.816349436,-0.816456764,-0.374451881,-0.086982486,1.835083184,7.645391635,2.543595374,1.878242352,0.76465075,3.055001707,-0.417901256,-0.178197293
Austin Meadows,TBR,117,600,535.1849076,134.2005921,28.47826213,3.3933394,23.86545338,77.44736502,76.32859433,50.34165846,142.282039,5.834609975,11.27737404,4.371887057,0.250996951,0.324086862,0.458690128,0.7829327,0.327,0.2,-0.4,1.4,95.5,15672,143.0593285,15672,OF/DH,-0.018505472,0.13031618,0.307385126,0.107560007,-0.574791561,-0.121340356,-0.169376076,1.752689593,8.04298188,2.549144215,1.546493218,1.585419785,2.584100978,-0.246473739,0.024297423
Clint Frazier,NYY,128,600,528.2155277,129.3794565,28.1924825,3.192572415,25.40287822,77.09402246,84.03587431,56.59435362,165.4401649,7.408611134,6.625381042,2.182069705,0.24413559,0.324865026,0.455260792,0.780613301,0.328,-3.3,-0.5,1.2,177.3,15983,140.7582129,15983,OF,-0.038364005,0.291061677,-0.216452189,0.500305509,-0.551239038,-0.173338792,-0.188026837,1.734038833,7.711991068,2.537514108,1.64611911,0.93142341,2.84503058,-0.229766532,-0.018329608
Mitch Haniger,SEA,136,600,524.5231135,129.650074,28.55978277,2.049167425,25.35818167,80.55592063,74.54107429,58.91770731,152.4102549,10.10432625,7.159671755,3.046485882,0.247954619,0.333040858,0.453851266,0.786036587,0.332,1.5,-0.7,1.9,259.4,14274,139.2574161,14274,OF,0.156201342,0.286388428,-0.156288424,0.016472041,-0.303782943,-0.194014563,-0.19502412,1.727041549,7.735078666,2.651460886,1.643222752,1.006536204,2.523584571,-0.054231192,-0.035494554
Mark Canha,OAK,141,609,515,124,28,3,23,79,79,71,144,17,5,2,0.241,0.348,0.441,0.789,0.336,-0.8,-0.2,2.2,257.6,11445,141,11445,OF/DH,0.068755605,0.039828678,-0.399478096,0.243688779,0.15173663,-0.385908414,-0.281376817,1.640688852,7.549004246,2.600248478,1.490411409,0.702920635,2.674541292,0.270684634,-0.189802202
Michael Brantley,HOU,139,602,543,159,33,2,18,78,79,49,75,5,6,2,0.293,0.354,0.459,0.813,0.344,0.9,-0.1,2.8,149.6,4106,139,4106,OF/DH,0.012553679,-0.482946461,-0.286873173,0.243688779,0.331800252,-0.117979165,-0.299756089,1.622309581,7.677339053,2.56733394,1.166408929,0.843504762,2.674541292,0.396996173,0.028553957
Trey Mancini,BAL,128,600,540.2155277,144.3794565,27.1924825,2.192572415,26.40287822,75.09402246,83.03587431,45.59435362,137.4401649,6.408611134,1.625381042,0.182069705,0.26625559,0.331316693,0.474615792,0.806419968,0.338,-0.9,0,1.4,167.5,15149,140.7582129,15149,OF,-0.150767858,0.395616704,-0.779476805,0.449347778,-0.355967862,0.131375975,-0.309872068,1.612193602,7.356301486,2.471685032,1.710919606,0.228502775,2.811175627,-0.091249062,0.225267508
Yoan Moncada,CHW,147,637,564,144,27,5,24,84,81,63,189,4,8,4,0.256,0.333,0.45,0.783,0.331,1.3,0.3,3.1,88.2,17232,147,17232,3B,0.349765238,0.144383706,-0.061663327,0.345604242,-0.321692265,-0.27180329,0.184594304,1.517136009,8.040157061,2.764821166,1.555211905,1.124673017,2.742251198,-0.058275294,-0.08852493
