Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid,GP,IDFANGRAPHS,Position,R_z,HR_z,SB_z,RBI_z,OBP_z,SLG_z,z-score,FVARz,SGP,R_sgp,HR_sgp,SB_sgp,RBI_sgp,OBP_sgp,SLG_sgp
Tyler Wade,NYY,28,219,195.7315915,47.46389098,9.413225784,1.467168737,4.796550554,26.58058084,21.37825163,18.95638089,44.63779244,1.912179173,5.248699226,1.372823134,0.24360802,0.310586066,0.379969829,0.692118686,0.28,-0.1,0.2,0.1,600,15730,55.56239039,15730,2B/SS,-2.877316737,-1.863433485,-0.371473339,-2.692584796,-0.380951069,-0.506225481,-8.691984907,,2.077333644,0.87488753,0.310818855,0.737883799,0.723759705,-0.204110939,-0.365905307
Breyvic Valera,TOR,6,128,114.7315915,30.46389098,5.413225784,0.467168737,2.796550554,15.58058084,13.37825163,10.95638089,18.63779244,0.912179173,1.248699226,0.372823134,0.261704347,0.323854285,0.411612441,0.738140564,0.301,-0.1,-0.1,0,999,12758,33.56239039,12758,2B,-3.495537928,-2.07254354,-0.821893032,-3.100246647,-0.151383228,-0.194485218,-9.836089594,,1.138616503,0.512827615,0.181217863,0.175547291,0.452920081,-0.056509631,-0.127386716
Josh VanMeter,ARI,42,282,250.7315915,61.46389098,13.41322578,1.467168737,7.796550554,33.58058084,31.37825163,25.95638089,56.63779244,2.912179173,5.248699226,2.372823134,0.245284243,0.318323931,0.410880825,0.729773022,0.307,-0.5,-0.1,0,600,15170,69.56239039,15170,2B,-2.483903251,-1.549768401,-0.371473339,-2.183007482,-0.370497333,-0.416604243,-7.375254051,,2.952477556,1.105289294,0.505220343,0.737883799,1.062309236,-0.180145591,-0.278079526
Robel Garcia,HOU,3,114,102.7315915,26.46389098,4.413225784,0.467168737,3.796550554,14.58058084,12.37825163,9.956380891,19.63779244,0.912179173,1.248699226,0.372823134,0.256018916,0.319660952,0.419301689,0.741964844,0.291,0,0,0,999,13167,30.56239039,13167,2B,-3.551739855,-1.967988512,-0.821893032,-3.151204379,-0.162730265,-0.152065552,-9.807621595,,1.15731228,0.479913078,0.246018359,0.175547291,0.419065128,-0.068456156,-0.094775419
Jed Lowrie,OAK,31,233,207.7315915,50.46389098,10.41322578,0.467168737,5.796550554,26.58058084,23.37825163,20.95638089,42.63779244,1.912179173,1.248699226,0.372823134,0.244382646,0.314456431,0.384718423,0.700643744,0.288,-0.7,-0.3,0,601,4418,58.56239039,4418,2B,-2.877316737,-1.758878457,-0.821893032,-2.590669333,-0.35759821,-0.507452057,-8.913807826,,1.670528292,0.87488753,0.375619351,0.175547291,0.791469611,-0.183226625,-0.363768866
Sean Rodriguez,,6,128,113.7315915,28.46389098,5.413225784,0.467168737,3.796550554,15.58058084,13.37825163,11.95638089,24.63779244,0.912179173,1.248699226,0.372823134,0.251423097,0.319916785,0.407674941,0.730265564,0.287,0.1,-0.1,0,999,6589,33.56239039,6589,2B,-3.495537928,-1.967988512,-0.821893032,-3.100246647,-0.176807323,-0.206099813,-9.768573257,,1.174495831,0.512827615,0.246018359,0.175547291,0.452920081,-0.07550704,-0.137310475
Jose Peraza,NYM,5,121,108.7315915,28.46389098,5.413225784,0.467168737,2.796550554,14.58058084,12.37825163,9.956380891,17.63779244,0.912179173,1.248699226,0.372823134,0.260414516,0.319449161,0.41106936,0.733347043,0.282,0,0,0,999,13593,32.56239039,13593,2B,-3.551739855,-2.07254354,-0.821893032,-3.151204379,-0.171887469,-0.186666181,-9.955934456,,1.059903509,0.479913078,0.181217863,0.175547291,0.419065128,-0.073568763,-0.122271087
Max Moroff,STL,5,121,107.7315915,27.46389098,5.413225784,0.467168737,3.796550554,14.58058084,12.37825163,11.95638089,20.63779244,0.912179173,1.248699226,0.372823134,0.251910384,0.321878913,0.407077624,0.731958614,0.286,-0.1,0,0,999,14556,32.56239039,14556,2B,-3.551739855,-1.967988512,-0.821893032,-3.151204379,-0.157056747,-0.197740289,-9.847622813,,1.126315115,0.479913078,0.246018359,0.175547291,0.419065128,-0.062478162,-0.131750579
Thairo Estrada,NYY,15,163,148.7315915,37.46389098,6.413225784,0.467168737,3.796550554,19.58058084,16.37825163,11.95638089,29.63779244,1.912179173,2.248699226,0.372823134,0.251289303,0.306836494,0.39662204,0.705944738,0.273,0,0,0,999,16426,42.56239039,16426,2B,-3.270730222,-1.967988512,-0.709288109,-2.947373453,-0.323230386,-0.314421072,-9.533031755,,1.366261867,0.644485766,0.246018359,0.316131418,0.55448494,-0.17582298,-0.219035637
Alex Blandino,CIN,11,149,131.7315915,32.46389098,6.413225784,0.467168737,3.796550554,17.58058084,14.37825163,14.95638089,29.63779244,1.912179173,1.248699226,0.372823134,0.244034607,0.322277507,0.390479144,0.715382498,0.288,-0.4,-0.1,0,999,16271,38.56239039,16271,2B,-3.383134075,-1.967988512,-0.821893032,-3.049288916,-0.182385964,-0.303683392,-9.708373891,,1.198254373,0.578656691,0.246018359,0.175547291,0.486775034,-0.074459582,-0.214283419
