Name,Team,W,L,SV,HLD,ERA,GS,G,IP,H,ER,HR,SO,BB,WHIP,K/9,BB/9,FIP,WAR,ADP,playerid,GP,K,SVH,QS,IDFANGRAPHS,Position,K_z,ERA_z,WHIP_z,QS_z,W_z,SVH_z,z-score,FVARz,SGP,K_sgp,ERA_sgp,WHIP_sgp,QS_sgp,W_sgp,SVH_sgp
Joey Lucchesi,PIT,6.00677937,3.788616785,0,0.67032967,4.168002534,15.31518254,15,91,72.83019501,35.49390435,11.33917884,60,26.36135892,1.338153439,8.807967436,3.186671029,4.274106528,0.7,573.3,19320,21.00504915,86.8393242,1.078348466,7.252462034,19320,SP,-0.502187401,-0.129660483,-0.323535049,-0.611371056,-0.592899598,-0.401579881,-2.561233468,-3.10661999,2.940345314,0.864688601,-0.032775088,-0.106871808,1.093732393,1.037979421,0.083591794
Josh James,HOU,1.239320657,1,1.095274605,5.241734174,3.722851854,0.867737507,24,34,23.44677816,12.04307968,3.517069588,32,14.68501623,1.29115882,11.39467116,4.353712768,3.990445564,0.1,598.6,16794,33.02979763,43.74919442,4.102953598,0.158867639,16794,RP,-1.263277987,0.050959033,-0.087574279,-1.783134548,-1.683980112,-0.0881694,-4.855177294,-3.116977704,1.083591126,0.435625566,0.090687355,0.001109183,0.023958579,0.214156249,0.318054195
Brad Wieck,CHC,1.239320657,1,1.095274605,4.605474048,4.095924076,0.867737507,30,40,30.44677816,17.04307968,5.517069588,36,14.68501623,1.270619762,10.54291062,3.736067236,4.217992096,0,999,16390,39.02979763,47.74919442,4.102953598,0.158867639,16390,RP,-1.19262695,-0.05538224,-0.056765291,-1.783134548,-1.683980112,-0.0881694,-4.860058542,-3.121858953,1.059404007,0.475454922,0.004809819,0.022970243,0.023958579,0.214156249,0.318054195
Nick Nelson,NYY,2.239320657,2,1.095274605,5.823158225,4.360385524,0.867737507,34,44,35.44677816,20.04307968,5.517069588,37,21.68501623,1.459462742,9.723435757,4.930432626,4.631474163,0,999,20153,43.02979763,48.74919442,6.102953598,0.158867639,,RP,-1.174964191,-0.152330469,-0.420179778,-1.783134548,-1.45512013,0.119071193,-4.866657924,-3.128458334,1.102226567,0.485412261,-0.073720088,-0.193472653,0.023958579,0.386957572,0.473090896
Cole Sulser,BAL,2.239320657,2,1.095274605,4.605474048,4.178424076,0.867737507,30,40,32.44677816,17.04307968,5.517069588,32,15.68501623,1.350619762,9.550910617,3.936067236,4.489992096,0,595.5,15256,39.02979763,43.74919442,4.102953598,0.158867639,15256,RP,-1.263277987,-0.082419459,-0.19678833,-1.783134548,-1.45512013,-0.0881694,-4.868909855,-3.130710265,1.085519927,0.435625566,-0.017642809,-0.061433175,0.023958579,0.386957572,0.318054195
Heath Hembree,CLE,1.239320657,2,1.095274605,5.823158225,4.445385524,0.867737507,34,44,37.44677816,20.04307968,7.517069588,38,15.68501623,1.345388668,9.967880201,3.643025219,4.712955645,0,999,11632,43.02979763,49.74919442,6.102953598,0.158867639,11632,RP,-1.157301432,-0.182972651,-0.200551049,-1.783134548,-1.683980112,0.119071193,-4.888868598,-3.150669009,1.046092264,0.4953696,-0.099111118,-0.061371942,0.023958579,0.214156249,0.473090896
Kodi Whitley,STL,2.239320657,1,1.095274605,4.433784807,4.131832453,0.867737507,32,42,35.44677816,18.04307968,4.517069588,30,15.68501623,1.352134386,8.74779867,3.686218496,4.43922317,0,999,19731,41.02979763,41.74919442,4.102953598,0.158867639,,RP,-1.298603505,-0.068544108,-0.206489026,-1.783134548,-1.45512013,-0.0881694,-4.900060718,-3.161861129,1.073365248,0.415710887,-0.005205227,-0.066110758,0.023958579,0.386957572,0.318054195
Ross Detwiler,MIA,2.239320657,2,1.095274605,5.300351146,4.435869686,2.867737507,37,54,52.44677816,25.04307968,6.517069588,33,17.68501623,1.384546689,7.18539892,3.132865028,4.674681325,0,999,2859,46.02979763,44.74919442,6.102953598,0.158867639,2859,RP,-1.245615228,-0.211421471,-0.325373692,-1.783134548,-1.45512013,0.119071193,-4.901593876,-3.163394286,1.081815872,0.445582905,-0.117509564,-0.130264516,0.023958579,0.386957572,0.473090896
Javier Guerra,SDP,1.239320657,1,1.095274605,4.353929347,3.915510768,0.867737507,33,43,35.44677816,17.04307968,4.517069588,32,14.68501623,1.296056379,8.99406662,3.453837015,4.06848311,0,999,17292,42.02979763,43.74919442,4.102953598,0.158867639,,RP,-1.263277987,0.006969785,-0.104499747,-1.783134548,-1.683980112,-0.0881694,-4.916092009,-3.177892419,1.04550352,0.435625566,0.057858616,-0.004149684,0.023958579,0.214156249,0.318054195
John Brebbia,SFG,1.239320657,1,1.095274605,5.80729873,3.711232101,0.867737507,20,30,22.44677816,11.04307968,3.517069588,23,8.685016234,1.220774702,10.18113827,3.092584045,3.957490121,0,999,12777,29.02979763,34.74919442,4.102953598,0.158867639,12777,RP,-1.422242819,0.043199487,0.008246931,-1.783134548,-1.683980112,-0.0881694,-4.926080462,-3.187880872,1.04173603,0.346009513,0.082578169,0.056979325,0.023958579,0.214156249,0.318054195
