mlbamid,"steamerid","proj_season","firstname","lastname","Team",BasicPF,"position","bats",p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,wRAA_adj,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
571466,"10200","2019","Tucker","Barnhart","CIN",1.017791986465454,"C","B",0.002,0.029,0.000,0.001,0.113,0.036,0.251,0.558,0.009,115.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.622800,28.00,0.83,115.4736,458.00,4.1220,39.7421,43.8641,81.5490,3.2060,4.2136,3.0605,3.6038,404.2656,99.7397,68.2770,20.5824,2.0419,8.8384,0.246723,0.322706,0.373327,0.303127,0.331320,2.5940,1.2320,-0.1161,-1.589,-1.7051,5.438,44.1051,46.5827,0.28631954,-4.435,50.428,-0.976,-5.412,14.808,9.6228,-11.6447,2.34216,0.0051139,1.14340
578428,"10231","2019","Jose","Iglesias","CIN",1.017791986465454,"SS","R",0.017,0.119,0.005,0.002,0.019,0.004,0.024,0.440,0.370,0.0,0.0,17.0,17.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,1.701000,29.00,0.84,56.7,223.20,0.0000,11.3928,11.3928,28.4411,2.6780,2.0534,1.7265,1.7446,205.6577,53.7897,37.2974,12.9746,0.6526,2.8651,0.261547,0.306403,0.372776,0.296373,0.315150,5.4814,2.3716,0.0694,0.205,0.2744,3.590,21.9021,21.9345,0.28918642,-3.391,23.346,-0.476,-3.867,7.216,1.701,0.0000,0.91769,0.0041115,0.91769
545341,"10243","2019","Randal","Grichuk","TOR",0.9978517889976501,"RF","R",0.045,0.036,0.223,0.246,0.263,0.071,0.074,0.033,0.010,0.0,0.0,0.0,0.0,0.0,0.0,13.6,118.8,0.0,0.0,0.0,-5.712401,27.00,0.83,132.35399999999998,565.70,1.6970,35.4370,37.1341,159.2341,5.6570,5.2044,1.7162,4.2104,516.9823,125.5355,60.8523,32.2533,2.0010,30.4289,0.242818,0.298455,0.489518,0.333015,0.443680,4.7092,2.2571,-0.0991,1.228,1.1289,1.817,72.8428,85.1970,0.28687204,8.312,76.077,0.146,8.458,18.290,-5.7124008,0.0000,2.46876,0.0043641,2.46876
474832,"10264","2019","Brandon","Belt","SFN",0.9679498076438904,"1B","L",0.002,0.191,0.259,0.305,0.213,0.010,0.012,0.004,0.004,0.0,134.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.188800,31.00,0.84,134.2656,584.50,5.2600,73.0303,78.2908,136.8043,5.8450,5.3774,1.6067,4.3244,494.4331,124.8762,74.2350,28.8410,3.1977,18.6024,0.252565,0.358578,0.436700,0.344022,0.402990,3.7803,1.7871,-0.1550,0.327,0.1720,6.275,69.9099,68.6037,0.30951959,13.836,83.853,2.244,16.080,18.898,-11.1888,0.0000,3.11264,0.0053253,3.11264
516472,"10286","2019","Francisco","Arcia","CHN",0.9969061017036438,"C","L",0.020,0.020,0.010,0.030,0.050,0.140,0.270,0.240,0.220,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016667,29.00,0.71,0.2,1.00,0.0010,0.0520,0.0530,0.2287,0.0160,0.0092,0.0063,0.0076,0.9172,0.2070,0.1497,0.0362,0.0036,0.0175,0.225677,0.277703,0.330328,0.267450,0.316820,0.0096,0.0041,0.0000,0.000,0.0000,0.001,0.0875,0.0954,0.27925140,-0.039,0.081,0.000,-0.038,0.032,0.016666666666666666,-0.0195,0.00120,0.0012000,-0.00081
516949,"10289","2019","Hector","Sanchez","DET",1.002928614616394,"C","B",0.027,0.036,0.027,0.095,0.055,0.118,0.143,0.172,0.327,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016667,29.00,0.65,0.2,1.00,0.0010,0.0620,0.0630,0.2467,0.0090,0.0092,0.0061,0.0075,0.9144,0.2096,0.1302,0.0413,0.0031,0.0350,0.229233,0.283302,0.396105,0.293418,0.362580,0.0077,0.0032,0.0000,0.000,0.0000,-0.002,0.1071,0.1161,0.27272727,-0.018,0.102,0.000,-0.018,0.032,0.016666666666666666,-0.0171,0.00295,0.0029500,0.00119
543611,"10317","2019","Danny","Ortiz","FA",1,"OF","L",0.069,0.103,0.034,0.034,0.069,0.069,0.276,0.207,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.005333,29.00,0.81,0.2,1.00,0.0040,0.0420,0.0460,0.2483,0.0070,0.0092,0.0062,0.0075,0.9333,0.2114,0.1324,0.0459,0.0023,0.0308,0.226499,0.266045,0.379729,0.276815,0.350300,0.0067,0.0031,-0.0001,0.001,0.0009,-0.005,0.0977,0.1111,0.27293335,-0.031,0.089,0.000,-0.031,0.032,-0.005333333333333334,0.0000,-0.00087,-0.0008700,-0.00087
542454,"10322","2019","Danny","Santana","TEX",1.0758763551712036,"SS","B",0.077,0.056,0.027,0.049,0.032,0.116,0.121,0.087,0.435,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.010000,28.00,0.76,0.2,1.00,0.0010,0.0466,0.0476,0.2450,0.0070,0.0092,0.0066,0.0074,0.9313,0.2335,0.1513,0.0519,0.0070,0.0233,0.250665,0.289970,0.396390,0.295604,0.373250,0.0351,0.0137,0.0012,0.002,0.0032,-0.010,0.1093,0.1082,0.31354415,-0.016,0.104,-0.009,-0.025,0.032,0.01,0.0000,0.00105,0.0010500,0.00105
542364,"10323","2019","Rafael","Ortega","ATL",1.0136665105819702,"OF","L",0.353,0.069,0.020,0.011,0.040,0.052,0.179,0.114,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.005333,28.00,0.82,0.2,1.00,0.0020,0.0780,0.0800,0.1417,0.0050,0.0092,0.0074,0.0071,0.9005,0.2358,0.1741,0.0402,0.0104,0.0111,0.261757,0.323082,0.366338,0.302420,0.319150,0.0278,0.0111,0.0007,0.000,0.0007,-0.005,0.1063,0.0876,0.29769475,-0.010,0.110,-0.002,-0.012,0.032,-0.005333333333333334,0.0000,0.00107,0.0010700,0.00107
542303,"10324","2019","Marcell","Ozuna","SLN",0.9774409532546997,"LF","R",0.001,0.036,0.127,0.636,0.154,0.039,0.002,0.003,0.002,0.0,0.0,0.0,0.0,0.0,139.3,0.0,0.0,0.0,0.0,0.0,-6.965190,28.00,0.87,139.3038,600.30,2.4010,43.7168,46.1180,114.2743,3.6020,5.5228,1.1119,4.2813,545.1870,157.0995,102.1188,25.7332,2.5079,26.7396,0.288157,0.345166,0.491701,0.356874,0.418230,2.1810,1.1236,-0.2004,0.714,0.5136,2.091,76.2818,91.1743,0.31915411,20.503,92.412,1.622,22.125,19.409,-6.965189999999999,0.0000,3.82679,0.0063748,3.82679
