"steamerid","mlbamid","proj_season","firstname","lastname","IP","G","GS","start_percent","start_IP","relief_IP","SV","LI","League","DBTeamId","FBV","reliability","Throws","age","Krate","BBrate","HBPrate","GBrate","FBrate","LDrate","SIERA","BABIP","TBF","batters_per_IP","ERA","RA","K","BB","IBB","1b","2b","3b","HR","HBP","SH","SF","GB","FB","LD","K9","BB9","HBP9","HR9","H","ER","R","WHIP","W","L","QS","HLD","holds_old","SV_old","HR/FB","FIP","pnFIP","LOB%","ERA-","CG","ShO","WAR","catcherframingruns"
"sa838671","644429","2019","Anderson","Severino","1","1","0","0","0","1","0","0.6","AL","NYA",,"0.29095","L","24","0.1406","0.1423","0.008753","0.49017281","0.30911525","0.20071194","5.38","0.299862","4.677","4.677","5.454","5.867100000000001","0.6576","0.6656","0.0389","0.73986","0.19345","0.01698","0.144","0.0409","0.0253","0.04197","1.6111","1.016","0.6597","5.9184","5.990399999999999","0.3681","1.2959999999999998","1.0943","0.606","0.6519","1.7599","0.045","0.0519","0","0","0","0","0.14173228","5.8373","5.6193","0.71842171","130.40001977279545","0","0","-0.0099","0.0035"
"sa840024","642012","2019","Nolan","Riggs","1","1","0","0","0","1","0","0.6","NL","SFN",,"0.45567","R","26","0.1953","0.1139","0.010996","0.43997583","0.35897006","0.20105412","4.42","0.290186","4.45","4.45","4.4055","4.761","0.8692","0.5069","0.0371","0.63512","0.18618","0.02277","0.1166","0.0489","0.0467","0.04453","1.3106","1.0693","0.5989","7.8228","4.5621","0.4401","1.0493999999999999","0.9607","0.4895","0.529","1.4676","0.0436","0.0532","0","0","0","0","0.1090433","4.6058","4.8416","0.72971934","105.33274794473759","0","0","-0.0046","0.007"
"sa841347","659259","2019","Jason","Zgardowski","1","1","0","0","0","1","0","0.6","FA","FA",,"0.28343","R","25","0.1875","0.1086","0.010712","0.43700441","0.35800294","0.20499266","4.39","0.297461","4.472","4.4719999999999995","4.8384","5.193","0.8386","0.4857","0.0372","0.66232","0.19812","0.02005","0.1401","0.0479","0.0356","0.04551","1.3392","1.0971","0.6282","7.5474","4.3713","0.4311","1.2609","1.0206","0.5376","0.577","1.5063","0.045","0.0519","0","0","0","0","0.1277003","4.9059","4.9059","0.71955584","115.68002047424014","0","0","-0.004","0.0016"
"sa841386","659168","2019","Jesus","Camargo","1","0.2933508771929825","0.1504","0.8568344","0.857","0.14300000000000002","0","0.9427338","NL","CHN",,"0.30223","R","23","0.14606504","0.12427677","0.011697","0.41200891","0.38099454","0.20699655","5.2513453","0.2925418404","4.631","4.631","5.8374","6.2073","0.6764","0.5755","0.0225","0.67732","0.22142","0.02402","0.1703","0.0542","0.0487","0.05193","1.3497","1.2481","0.6781","6.087599999999999","5.1795","0.4878","1.5326999999999997","1.093","0.6486","0.6897","1.6685","0.0447","0.0722","0.0419","0","0","0","0.1364474","5.9112078","5.8858508","0.69596033","139.57218354556142","0.0007","0.0003","-0.0071","-0.0092"
"sa842224","657031","2019","Josh","Taylor","10","10","0","0","0","10","0","0.6","AL","BOS",,"0.55873","L","26","0.193","0.0981","0.009388","0.45708339","0.33106115","0.21185546","4.18","0.296897","43.821","4.382099999999999","4.27212","4.63176","8.4575","4.2989","0.3649","6.50678","2.05574","0.18449","1.192","0.4114","0.2366","0.41599","13.9005","10.068","6.4428","7.611749999999999","3.8690100000000003","0.37026","1.0728","9.939","4.7468","5.1464","1.42379","0.5145","0.4564","0","0.7711","0.7711","0","0.11839491","4.4322","4.4963","0.73209044","102.13867306039943","0","0","0","0.0771"
"sa856181","641761","2019","Max","Knutson","1","1","0","0","0","1","0","0.6","AL","BAL",,"0.26383","L","24","0.1381","0.1689","0.010478","0.38677586","0.40776463","0.20545951","5.98","0.295132","4.866","4.866","6.5304","6.9039","0.672","0.8219","0.0405","0.69863","0.20902","0.01927","0.1806","0.051","0.0263","0.05556","1.2752","1.3444","0.6774","6.048","7.3971","0.45899999999999996","1.6254000000000002","1.1075","0.7256","0.7671","1.9293999999999998","0.0358","0.0608","0","0","0","0","0.13433502","6.7835","6.5875","0.70232004","156.11758229586826","0","0","-0.0181","-0.0047"
"sa856184","668870","2019","Gabe","Friese","1","1","0","0","0","1","0","0.6","NL","MIL",,"0.30651","R","24","0.1347","0.124","0.009634","0.42114532","0.37212715","0.20672752","5.44","0.298018","4.726","4.726","6.1506","6.5295000000000005","0.6366","0.586","0.0393","0.72827","0.2265","0.02176","0.181","0.0455","0.0496","0.05274","1.4348","1.2678","0.7043","5.7294","5.274","0.4095","1.629","1.1576","0.6834","0.7255","1.7435999999999998","0.0399","0.0569","0","0","0","0","0.142767","6.1353","5.9743","0.69258319","147.03742031179922","0","0","-0.0155","0.0142"
"sa856185","663416","2019","Joey","Strain","1","0.8994035087719299","0.0214","0.1227333","0.122","0.878","0","0.6490933","AL","SEA",,"0.37528","R","25","0.12871214","0.09470767","0.008833","0.40564589","0.39466133","0.19969278","4.9666387","0.29530463","4.522","4.522","5.6537999999999995","6.010199999999999","0.582","0.4283","0.0338","0.72651","0.22513","0.02058","0.1794","0.0399","0.0244","0.05623","1.3996","1.3617","0.689","5.2379999999999995","3.8547000000000002","0.35910000000000003","1.6146","1.1516","0.6282","0.6678","1.5798999999999999","0.0401","0.0595","0.0056","0","0","0","0.13174708","5.7338048","5.829412400000001","0.69558101","135.1810478119807","0.0001","0","-0.0102","-0.0065"
"sa856186","664157","2019","Travis","Bergen","50","50","0","0","0","50","0","0.7","NL","SFN",,"0.30431","L","25","0.2384","0.0962","0.010184","0.41396801","0.38497081","0.20106119","3.7","0.28798","214.961","4.29922","3.732642","4.048074000000001","51.2468","20.6793","1.7898","29.14605","8.75615","1.06488","5.5344","2.1892","2.2571","2.22334","57.3758","53.3568","27.867","9.224424","3.7222740000000005","0.394056","0.996192","44.5015","20.7369","22.4893","1.303616","2.3778","2.4719","0","10.3518","10.3518","0","0.10372436","3.9222","4.123","0.75275604","89.24044401773162","0","0","0.1078","0.3368"
"sa856254","663390","2019","Ryan","Mason","1","1","0","0","0","1","0","0.6","AL","MIN",,"0.41374","R","24","0.1461","0.1007","0.011002","0.45593547","0.33596196","0.20810258","4.72","0.299793","4.509","4.509","5.2101","5.589","0.6587","0.454","0.0375","0.7252","0.21183","0.02162","0.1485","0.0496","0.0243","0.0461","1.5148","1.1162","0.6914","5.928299999999999","4.086","0.44639999999999996","1.3365","1.1072","0.5789","0.621","1.5612","0.0449","0.052","0","0","0","0","0.13304067","5.2849","5.2366","0.70553853","124.56652971457312","0","0","-0.0062","0.0001"
"sa856262","669018","2019","Patrick","Ruotolo","1","1","0","0","0","1","0","0.6","NL","SFN",,"0.34523","R","24","0.2524","0.1068","0.009918","0.39296264","0.4059754","0.20106196","3.7","0.283289","4.31","4.31","3.7998000000000003","4.1049","1.0879","0.4603","0.0359","0.54632","0.17111","0.02093","0.1129","0.0427","0.0453","0.04527","1.0509","1.0857","0.5377","9.7911","4.1427","0.38430000000000003","1.0161","0.8513","0.4222","0.4561","1.3115999999999999","0.0472","0.0498","0","0","0","0","0.10398821","3.9619","4.1648","0.75085267","90.8398722345147","0","0","0.0016","0.0068"
"sa856266","664074","2019","Cody","Ponce","1","0.3791052631578947","0.1321","0.7576583","0.753","0.247","0","0.9030633","NL","MIL",,"0.58679","R","25","0.17819728","0.0770582","0.011626","0.4397201","0.35377181","0.2065081","4.3303608","0.2938793971","4.407","4.407","4.8708","5.2254000000000005","0.7853","0.3396","0.0232","0.66868","0.21192","0.02096","0.1631","0.0512","0.0463","0.04689","1.4013","1.1274","0.6581","7.0677","3.0564","0.46080000000000004","1.4679000000000002","1.0647","0.5412","0.5806","1.4043","0.0511","0.0635","0.0492","0","0","0","0.14466915","4.8831131","4.7550109","0.71294697","116.43074043846647","0.0008","0.0004","0.0021","0.0132"
"sa856272","621334","2019","Evan","Hill","1","1","0","0","0","1","0","0.6","AL","DET",,"0.22045","L","25","0.1529","0.1468","0.009054","0.44703364","0.34600348","0.20696289","5.38","0.303133","4.699","4.699","5.5953","5.9859","0.7185","0.6898","0.0391","0.71394","0.20263","0.02543","0.1408","0.0425","0.0254","0.04608","1.4407","1.1151","0.667","6.4665","6.2082","0.3825","1.2672","1.0828","0.6217","0.6651","1.7726","0.0408","0.056","0","0","0","0","0.1262667","5.7513","5.6348","0.7107628","133.76383965472937","0","0","-0.0099","0.0012"
"sa856275","622230","2019","Andrew","Lee","1","0.313140350877193","0.1461","0.8332989","0.833","0.16700000000000004","0","0.9333196","NL","WAS",,"0.34809","R","25","0.15520095","0.17423382","0.009398","0.42289868","0.36992128","0.20718004","5.9883227","0.2960335414","4.841","4.841","6.1884","6.5817000000000005","0.7513","0.8434","0.0239","0.6727","0.21134","0.01768","0.1545","0.0455","0.0509","0.04855","1.3323","1.1654","0.6527","6.761700000000001","7.5906","0.40950000000000003","1.3905","1.0562","0.6876","0.7313","1.8996","0.0407","0.0755","0.0347","0","0","0","0.13257251","6.3335938","6.3835763","0.70210551","147.95762228841383","0.0006","0.0003","-0.0134","-0.0029"
"sa856277","670546","2019","Levi","MaVorhis","1","0.8210701754385965","0.0381","0.2163196","0.217","0.783","0","0.6865278","FA","FA",,"0.29332","R","24","0.12564666","0.13061441","0.009249","0.42701296","0.36799158","0.20499547","5.5711007","0.29629951","4.706","4.7059999999999995","6.075900000000001","6.4611","0.5913","0.6147","0.0351","0.7274","0.22368","0.02283","0.1696","0.0435","0.0374","0.05215","1.46","1.2582","0.7009","5.321700000000001","5.5323","0.39149999999999996","1.5264","1.1435","0.6751","0.7179","1.7582","0.0396","0.0622","0.0089","0","0","0","0.13479574","6.1578099","6.1578099","0.69285157","145.25595134358042","0.0001","0.0001","-0.0142","0.0018"
