mlbamid,steamerid,proj_season,firstname,lastname,Team,BasicPF,position,bats,p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,wGDP,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
660704,sa872784,2021,Henderson,De Oleo,,1.000,3B,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,23.00,0.27,0.25,1,0.0000,0.0430,0.0430,0.3729,0.0110,0.0092,0.0063,0.0075,0.9322,0.1366,0.1000,0.0176,0.0016,0.0173,0.146511,0.191783,0.224659,0.186176,0.262710,0.0099,0.0041,0.0000,0.000,0.001,0.0010,0.000,0.0702,0.0719,0.217106460419,-0.113,0.013,-0.113,0.034,0.0041,0.0000,-0.00719,-0.0071900,-0.00719
658550,sa872798,2021,Juan,Pineda,,1.000,SS,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,23.00,0.22,0.25,1,0.0000,0.0320,0.0320,0.2915,0.0110,0.0092,0.0063,0.0075,0.9432,0.1481,0.1177,0.0200,0.0020,0.0085,0.156986,0.192279,0.209243,0.179945,0.227750,0.0109,0.0045,0.0000,0.000,0.001,0.0010,0.000,0.0651,0.0634,0.214538189642,-0.118,0.008,-0.118,0.034,0.0041,0.0000,-0.00767,-0.0076700,-0.00767
660679,sa872804,2021,Beicker,Mendoza,,1.000,OF,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,23.00,0.25,0.25,1,0.0000,0.0320,0.0320,0.3245,0.0110,0.0092,0.0063,0.0075,0.9432,0.1562,0.1160,0.0211,0.0018,0.0173,0.165661,0.200513,0.246986,0.197291,0.267760,0.0099,0.0041,0.0000,0.000,0.001,0.0010,0.000,0.0734,0.0770,0.228116275250,-0.104,0.022,-0.104,0.034,-0.0206,0.0000,-0.00871,-0.0087100,-0.00871
660523,sa872832,2021,Angel,Manzanarez,,1.000,2B,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,24.00,0.22,0.25,1,0.0000,0.0370,0.0370,0.2280,0.0110,0.0092,0.0063,0.0075,0.9382,0.1623,0.1310,0.0214,0.0020,0.0078,0.173035,0.211673,0.225235,0.196008,0.226560,0.0129,0.0054,0.0000,0.000,0.001,0.0010,0.000,0.0700,0.0664,0.217636286801,-0.105,0.021,-0.105,0.034,0.0041,0.0000,-0.00641,-0.0064100,-0.00641
661412,sa872852,2021,Stanley,Espinal,,1.000,3B,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.012,24.00,0.37,0.25,1,0.0020,0.0390,0.0410,0.2560,0.0110,0.0092,0.0063,0.0075,0.9342,0.1682,0.1249,0.0229,0.0028,0.0176,0.180098,0.221641,0.267301,0.214982,0.262350,0.0094,0.0040,-0.0001,0.000,0.001,0.0009,0.000,0.0797,0.0814,0.225415356982,-0.089,0.037,-0.089,0.034,-0.0123,0.0000,-0.00646,-0.0064600,-0.00646
650626,sa873596,2021,Johnny,Adams,,1.000,SS,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.012,26.00,0.60,0.25,1,0.0000,0.0510,0.0510,0.2890,0.0090,0.0092,0.0063,0.0075,0.9262,0.1670,0.1256,0.0260,0.0027,0.0127,0.180294,0.228425,0.255428,0.216016,0.270640,0.0103,0.0044,-0.0001,0.000,0.001,0.0009,0.000,0.0779,0.0748,0.244145569620,-0.088,0.038,-0.088,0.034,0.0123,0.0000,-0.00397,-0.0039700,-0.00397
669905,sa873626,2021,Michael,Hernandez,,1.000,C,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,26.00,0.42,0.25,1,0.0000,0.0460,0.0460,0.4070,0.0110,0.0092,0.0063,0.0075,0.9292,0.1388,0.0985,0.0228,0.0018,0.0157,0.149321,0.196988,0.228379,0.190375,0.285350,0.0085,0.0035,0.0000,0.000,0.001,0.0010,0.000,0.0709,0.0710,0.239494163424,-0.109,0.016,-0.109,0.034,0.0206,0.0000,-0.00519,-0.0051900,-0.00519
669049,sa873634,2021,Connor,Justus,,1.000,SS,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.012,26.00,0.66,0.25,1,0.0000,0.0870,0.0870,0.2494,0.0150,0.0092,0.0063,0.0075,0.8842,0.1745,0.1250,0.0368,0.0025,0.0102,0.197292,0.278195,0.279002,0.253236,0.283390,0.0139,0.0064,-0.0003,0.000,0.001,0.0007,0.000,0.0900,0.0760,0.259927226705,-0.056,0.069,-0.056,0.034,0.0123,0.0000,-0.00088,-0.0008800,-0.00088
641453,sa873984,2021,Connor,Chatham,,1.000,SS,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.012,26.00,0.62,0.25,1,0.0020,0.0430,0.0450,0.2116,0.0090,0.0092,0.0063,0.0075,0.9322,0.2387,0.1754,0.0473,0.0030,0.0130,0.256066,0.294557,0.355048,0.282782,0.338370,0.0120,0.0049,0.0000,0.000,0.001,0.0010,0.000,0.0985,0.0950,0.315620192980,-0.031,0.094,-0.031,0.034,0.0123,0.0000,0.00159,0.0015900,0.00159
675970,sa874040,2021,Alejandro,Robles,,1.000,3B,R,0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,25.00,0.32,0.25,1,0.0000,0.0430,0.0430,0.2370,0.0100,0.0092,0.0063,0.0075,0.9332,0.1874,0.1371,0.0290,0.0025,0.0188,0.200882,0.241985,0.297777,0.236953,0.284590,0.0106,0.0044,0.0000,0.000,0.001,0.0010,0.000,0.0867,0.0883,0.246167323697,-0.070,0.056,-0.070,0.034,0.0041,0.0000,-0.00301,-0.0030100,-0.00301
