mlbamid,"steamerid","proj_season","firstname","lastname","Team",BasicPF,"position","bats",p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
570717,"11165","2020","Ramon","Flores","MIN",1.011,"OF","L",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,28.00,0.72,0.25,1,0.0030,0.1013,0.1043,0.2048,0.0070,0.0092,0.0063,0.0075,0.8749,0.2152,0.1534,0.0366,0.0054,0.0198,0.245877,0.328512,0.367843,0.302320,0.335130,0.0135,0.0054,0.0000,0.000,0.0000,-0.002,0.1144,0.1024,0.29705078,-0.015,0.111,-0.017,0.032,-0.0123,0.0000,0.00007,0.0000700,0.00007
605125,"11997","2020","Cody","Asche","MIN",1.011,"3B","L",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-0.029,30.00,0.73,0.25,1,0.0020,0.0904,0.0924,0.2876,0.0090,0.0092,0.0063,0.0075,0.8848,0.1895,0.1204,0.0394,0.0044,0.0253,0.214165,0.292741,0.354359,0.279649,0.349100,0.0105,0.0045,-0.0001,0.000,-0.0001,0.000,0.1093,0.1038,0.28339662,-0.035,0.091,-0.036,0.032,-0.0288,0.0000,-0.00320,-0.0032000,-0.00320
596146,"12144","2020","Max","Kepler","MIN",1.011,"RF","L",0.821,0.009,0.010,0.004,0.035,0.053,0.046,0.014,0.008,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.2,0.0,0.0,0.0,-2.241,27.00,0.86,50.21,228.508961250589,0.2285,23.6108,23.8393,38.6355,2.5136,2.1023,1.9945,1.4678,198.6938,51.8076,28.0732,12.1027,0.5470,11.0847,0.260744,0.345060,0.494532,0.351737,0.384190,2.2813,0.9409,-0.0181,0.564,0.5459,2.085,35.2715,29.9555,0.27068945,6.268,35.145,5.954,7.395,-2.2413,0.0000,1.33436,0.0058394,1.33436
592696,"12155","2020","Eddie","Rosario","MIN",1.011,"LF","L",0.001,0.064,0.030,0.191,0.696,0.001,0.004,0.006,0.006,0.0,0.0,0.0,0.0,0.0,46.2,0.0,3.0,0.0,0.0,0.0,-2.459,28.00,0.86,49.18,208.93560500147,0.8357,9.7563,10.5920,34.4169,0.6268,1.9222,0.5985,1.6420,195.4763,55.6461,33.6411,11.2098,0.6025,10.1927,0.284676,0.320952,0.504624,0.341151,0.394920,1.6105,0.7754,-0.0680,0.825,0.7570,-0.342,28.3199,33.9568,0.29803808,3.820,30.223,3.532,6.761,-2.4591,0.0000,0.80118,0.0038346,0.80118
595909,"14477","2020","Jake","Cave","MIN",1.011,"CF","L",0.026,0.035,0.072,0.011,0.053,0.160,0.188,0.217,0.238,0.0,0.0,0.0,0.0,0.0,3.5,6.9,2.8,0.0,0.0,0.0,-0.196,27.00,0.81,13.18,52.7981750618106,0.1056,3.6194,3.7250,15.1881,0.6336,0.4857,0.3203,0.3990,47.7202,12.2690,7.8181,2.4305,0.3874,1.6330,0.257116,0.316862,0.426953,0.314549,0.415600,0.4261,0.1817,-0.0083,0.067,0.0587,-0.247,6.3198,6.5348,0.33982894,-0.249,6.423,-0.321,1.709,-0.1965,0.0000,0.09744,0.0018455,0.09744
664774,"18126","2020","LaMonte","Wade","MIN",1.011,"CF","L",0.097,0.028,0.042,0.014,0.042,0.111,0.181,0.222,0.264,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.036,26.00,0.78,2.14,8.61056065745427,0.0086,0.9325,0.9411,1.4763,0.1033,0.0792,0.0575,0.0646,7.4441,1.9129,1.3654,0.3256,0.0466,0.1752,0.256967,0.345758,0.383861,0.317532,0.334360,0.1187,0.0480,0.0000,0.009,0.0090,-0.106,1.0257,0.9006,0.29667759,-0.018,1.070,-0.030,0.279,0.0357,0.0000,0.01823,0.0021172,0.01823
541600,"10416","2020","Wilfredo","Tovar","MIN",1.011,"SS","R",0.085,0.024,0.012,0.012,0.037,0.049,0.061,0.439,0.280,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,28.00,0.80,1.52,6.02082932491173,0.0000,0.3111,0.3111,0.9677,0.0301,0.0554,0.0451,0.0464,5.5882,1.4773,1.0959,0.2835,0.0338,0.0642,0.264377,0.304320,0.361662,0.286310,0.319150,0.0960,0.0427,-0.0011,0.006,0.0049,0.033,0.6337,0.5885,0.30701545,-0.175,0.586,-0.184,0.195,0.0591,0.0000,0.01049,0.0017423,0.01049
593934,"12164","2020","Miguel","Sano","MIN",1.011,"1B","R",0.002,0.007,0.040,0.024,0.077,0.018,0.049,0.775,0.007,0.0,42.8,0.0,1.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,-3.752,27.00,0.82,45.74,180.45641417615,0.1805,20.7972,20.9776,61.9743,1.2632,1.6602,1.2766,1.4470,155.4920,38.6368,19.2614,7.4231,0.5642,11.3880,0.248478,0.339755,0.523185,0.357568,0.521240,0.4448,0.2026,-0.0488,-0.359,-0.4078,-0.030,26.2401,29.5963,0.32603345,5.859,28.664,5.611,5.840,-3.7524,0.0000,0.70521,0.0039079,0.70521
596117,"18067","2020","Garrett","Stubbs","HOU",0.954,"C","L",0.121,0.138,0.052,0.017,0.017,0.172,0.086,0.241,0.155,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,27.00,0.74,11.93,49.2836425758613,0.0493,4.0475,4.0968,9.9919,0.4928,0.4534,0.3222,0.3628,44.0091,10.1362,6.8897,2.1295,0.1899,0.9271,0.230325,0.300767,0.350541,0.282585,0.313790,1.0275,0.3686,0.0314,0.059,0.0904,-0.016,5.4388,4.8130,0.27528555,-1.594,4.634,-1.307,1.595,0.9945,-0.4360,0.13179,0.0026741,0.08944
543807,"12856","2020","George","Springer","HOU",0.954,"CF","R",0.979,0.001,0.001,0.002,0.002,0.001,0.002,0.004,0.008,0.0,0.0,0.0,0.0,0.0,0.0,45.9,4.0,2.3,0.0,0.0,0.297,30.00,0.87,52.24,242.127571960858,0.2421,27.2236,27.4657,48.4901,2.9055,2.2276,2.3183,1.5091,207.9290,56.9274,33.6263,9.9975,0.8677,12.4359,0.273773,0.364025,0.509625,0.366268,0.419430,2.8722,1.1675,-0.0099,0.337,0.3271,-0.624,39.2857,31.7463,0.29958165,9.683,40.281,11.092,7.835,0.2966,0.0000,1.83826,0.0075921,1.83826
598265,"12984","2020","Jackie","Bradley Jr.","BOS",1.033,"CF","L",0.007,0.001,0.004,0.006,0.006,0.011,0.061,0.437,0.467,0.0,0.0,0.0,0.0,0.0,0.0,48.7,0.0,0.0,0.0,0.0,0.812,30.00,0.86,48.69,187.029811062579,0.9351,17.0963,18.0315,49.4152,3.1795,1.7207,1.4659,1.4727,162.8802,38.8362,22.1842,9.1571,0.8733,6.6216,0.238430,0.323589,0.427332,0.317976,0.393300,3.4767,1.3056,0.0765,0.600,0.6765,0.293,23.5846,23.1149,0.29741285,-0.327,23.308,-1.100,6.052,0.8115,0.0000,0.65394,0.0034964,0.65394
593523,"13154","2020","Marco","Hernandez","BOS",1.033,"2B","L",0.063,0.028,0.106,0.007,0.049,0.028,0.106,0.239,0.373,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,27.00,0.66,0.25,1,0.0020,0.0407,0.0427,0.2295,0.0120,0.0092,0.0067,0.0077,0.9308,0.2483,0.1710,0.0610,0.0023,0.0140,0.266755,0.305103,0.382340,0.292989,0.361700,0.0160,0.0068,0.0000,0.001,0.0010,-0.002,0.1074,0.1031,0.33712230,-0.023,0.103,-0.027,0.032,0.0042,0.0000,0.00080,0.0008000,0.00080
624407,"14678","2020","Tzu-Wei","Lin","BOS",1.033,"2B","L",0.126,0.049,0.051,0.038,0.073,0.106,0.091,0.137,0.330,0.0,0.0,1.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.056,26.00,0.73,2.25,9.14550431095931,0.0091,0.6633,0.6725,2.1676,0.0549,0.0841,0.0599,0.0680,8.2902,2.0073,1.3807,0.4642,0.0479,0.1144,0.242115,0.300976,0.351072,0.281882,0.336680,0.1722,0.0777,-0.0019,0.010,0.0081,0.000,0.9627,0.8492,0.31152694,-0.301,0.854,-0.339,0.296,0.0562,0.0000,0.00207,0.0002263,0.00207
657077,"17027","2020","Alex","Verdugo","BOS",1.033,"RF","L",0.007,0.045,0.005,0.007,0.012,0.042,0.833,0.016,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4,0.0,0.0,0.0,-2.321,24.00,0.77,46.41,186.300544006927,0.5589,14.6233,15.1822,25.3933,1.3041,1.7140,1.0437,1.3700,167.4005,51.1137,33.4498,11.4762,0.9041,5.2836,0.305340,0.364901,0.479384,0.355870,0.385190,2.1057,0.9416,-0.0477,0.227,0.1793,1.387,23.5087,24.5858,0.33187707,5.776,29.319,5.006,6.029,-2.3207,0.0000,0.99850,0.0053596,0.99850
646240,"17350","2020","Rafael","Devers","BOS",1.033,"3B","L",0.001,0.438,0.367,0.030,0.043,0.073,0.023,0.017,0.009,0.0,0.0,0.0,53.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.825,23.00,0.83,54.13,238.849006661865,2.1496,16.1375,18.2871,42.7604,1.4331,2.1974,0.9693,1.7590,216.4005,64.5885,36.0590,15.1190,0.9317,12.4788,0.298468,0.354418,0.549941,0.371484,0.434260,3.3744,1.6696,-0.1158,0.712,0.5962,-0.371,36.4171,38.9669,0.31984780,10.628,40.812,9.642,7.729,0.8254,0.0000,1.78920,0.0074909,1.78920
643217,"17901","2020","Andrew","Benintendi","BOS",1.033,"LF","L",0.762,0.134,0.003,0.005,0.059,0.022,0.005,0.004,0.006,0.0,0.0,0.0,0.0,0.0,50.6,1.7,0.0,0.0,0.0,0.0,-2.501,25.00,0.84,52.35,239.811008588401,0.4796,24.3037,24.7834,47.1949,2.1583,2.2063,2.0613,1.5566,209.2515,56.7159,34.4618,13.7299,1.4182,7.1060,0.271034,0.351865,0.452077,0.341235,0.386550,5.0098,1.7329,0.1750,0.420,0.5950,0.524,34.9789,26.0817,0.31698158,4.401,34.707,3.411,7.760,-2.5010,0.0000,0.95076,0.0039646,0.95076
571830,"10349","2020","Tommy","Joseph","BOS",1.033,"1B","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,28.00,0.76,0.25,1,0.0020,0.0616,0.0636,0.2559,0.0100,0.0092,0.0063,0.0075,0.9126,0.2201,0.1292,0.0460,0.0019,0.0430,0.241136,0.295521,0.437061,0.306916,0.387830,0.0051,0.0021,-0.0001,-0.002,-0.0021,-0.002,0.1221,0.1338,0.28509337,-0.011,0.115,-0.015,0.032,-0.0206,0.0000,-0.00075,-0.0007500,-0.00075
593428,"12161","2020","Xander","Bogaerts","BOS",1.033,"SS","R",0.001,0.031,0.448,0.387,0.122,0.003,0.002,0.003,0.004,0.0,0.0,0.0,0.0,54.1,0.0,0.0,0.0,0.0,0.0,0.0,2.706,27.00,0.87,54.11,235.62118329312,0.9425,23.1768,24.1193,41.8277,1.8850,2.1677,0.3920,1.7364,207.4885,59.8769,36.1865,13.8323,0.4090,9.4491,0.288585,0.365101,0.495819,0.361188,0.406090,2.0823,0.8138,-0.0110,0.624,0.6130,-0.902,32.5712,35.3288,0.31926816,8.388,38.164,7.415,7.625,2.7057,0.0000,1.69548,0.0071958,1.69548
607680,"12434","2020","Kevin","Pillar","BOS",1.033,"RF","R",0.032,0.018,0.037,0.009,0.286,0.294,0.215,0.058,0.051,0.0,0.0,0.0,0.0,0.0,5.3,10.6,11.3,0.0,0.0,0.0,-0.652,31.00,0.86,27.20,111.805509356916,0.4472,4.2213,4.6686,18.0346,1.3417,1.0286,0.5014,0.8358,104.4581,28.1800,17.9710,6.4610,0.3229,3.4251,0.269782,0.307186,0.436187,0.311343,0.354500,2.3767,0.8746,0.0666,0.382,0.4486,0.825,13.1080,14.3046,0.29528402,-0.837,13.293,-1.298,3.618,-0.6522,0.0000,0.28568,0.0025552,0.28568
643565,"15274","2020","Mike","Tauchman","NYA",0.998,"LF","L",0.010,0.055,0.010,0.023,0.050,0.084,0.171,0.199,0.399,0.0,0.0,0.0,0.0,0.0,12.3,4.1,5.4,0.0,0.0,0.0,-0.817,29.00,0.82,21.79,85.8940704735495,0.1718,7.8445,8.0162,19.3313,0.6013,0.7902,0.5808,0.6558,76.0400,18.8594,12.3206,3.8387,0.3752,2.3248,0.248019,0.322070,0.400092,0.309126,0.361050,1.5509,0.6871,-0.0136,0.058,0.0444,0.338,10.0852,9.6562,0.30041225,-0.807,10.047,-0.782,2.780,-0.8173,0.0000,0.15182,0.0017675,0.15182
645801,"15585","2020","Mike","Ford","NYA",0.998,"1B","L",0.058,0.017,0.042,0.025,0.125,0.083,0.208,0.217,0.225,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,-1.499,27.00,0.80,16.95,68.1433557065485,0.4089,6.7704,7.1793,13.0951,0.6814,0.6269,0.4210,0.5184,59.3433,15.2269,8.6877,2.8410,0.0665,3.6317,0.256598,0.340923,0.490319,0.346515,0.392740,0.2307,0.0956,-0.0148,0.060,0.0452,-0.113,9.3944,10.0845,0.26881249,1.562,10.173,1.582,2.205,-1.4994,0.0000,0.21560,0.0031639,0.21560
642180,"15730","2020","Tyler","Wade","NYA",0.998,"2B","L",0.015,0.040,0.079,0.044,0.052,0.035,0.058,0.236,0.441,0.0,0.0,5.9,0.7,3.3,0.0,0.7,1.3,0.0,0.0,0.0,0.220,25.00,0.78,11.90,47.0562531735739,0.0941,3.4947,3.5888,11.5033,0.4235,0.4329,0.3135,0.3631,42.3674,10.1062,7.1374,1.9699,0.2606,0.7384,0.238549,0.302057,0.349636,0.281982,0.338200,1.4824,0.5793,0.0312,0.099,0.1302,-0.183,5.0178,4.5134,0.30725381,-1.546,4.400,-1.532,1.523,0.2203,0.0000,0.01539,0.0003271,0.01539
570482,"10681","2020","Giovanny","Urshela","NYA",0.998,"3B","R",0.001,0.006,0.017,0.019,0.017,0.033,0.057,0.053,0.797,0.0,0.0,0.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.774,28.00,0.81,46.43,177.544662189143,0.1775,8.9091,9.0867,32.0171,1.7754,1.6334,1.3305,1.3678,163.9842,44.0491,29.4596,8.5098,0.2215,5.8582,0.268620,0.311618,0.430386,0.313082,0.361380,0.9814,0.3611,-0.0090,-0.344,-0.3530,-0.388,21.3146,22.2869,0.29959122,-1.062,21.375,-1.009,5.746,0.7738,0.0000,0.46327,0.0026093,0.46327
596142,"11442","2020","Gary","Sanchez","NYA",0.998,"C","R",0.001,0.004,0.045,0.091,0.062,0.768,0.009,0.010,0.009,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,3.030,27.00,0.82,39.25,162.148055568954,0.6486,14.8085,15.4571,41.9005,2.4322,1.4918,0.5574,1.1268,142.5746,34.5514,17.5048,5.7912,0.3041,10.9513,0.242349,0.324537,0.517673,0.347676,0.436940,0.5947,0.2537,-0.0331,-0.073,-0.1061,-1.079,22.6197,26.5035,0.25977109,3.879,24.370,3.927,5.247,3.0299,-1.5557,1.07020,0.0066001,0.91910
502273,"11241","2020","Mike","Freeman","CLE",1.042,"2B","L",0.029,0.047,0.041,0.053,0.123,0.077,0.193,0.105,0.333,0.0,0.6,1.3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.011,32.00,0.77,3.18,12.7534002876517,0.0128,1.0071,1.0199,3.3508,0.1275,0.1173,0.0763,0.0966,11.4331,2.7779,2.0482,0.5156,0.0305,0.1836,0.242959,0.309627,0.341554,0.284158,0.347930,0.1672,0.0647,0.0015,0.017,0.0185,-0.001,1.2912,1.1947,0.32447813,-0.395,1.217,-0.463,0.413,0.0106,0.0000,-0.00213,-0.0001670,-0.00213
607333,"12384","2020","Beau","Taylor","CLE",1.042,"C","L",0.020,0.040,0.020,0.044,0.020,0.040,0.060,0.198,0.560,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,30.00,0.75,1.11,4.34781093047537,0.0130,0.4737,0.4868,1.2948,0.0348,0.0400,0.0314,0.0334,3.7614,0.8140,0.5532,0.1674,0.0120,0.0813,0.216418,0.309424,0.332186,0.281906,0.349150,0.0233,0.0090,-0.0005,0.002,0.0015,0.014,0.4557,0.4019,0.30293133,-0.143,0.406,-0.166,0.141,0.0928,-0.0143,0.00809,0.0018607,0.00670
571980,"13359","2020","Tyler","Naquin","CLE",1.042,"RF","L",0.001,0.005,0.007,0.010,0.013,0.413,0.419,0.061,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,0.0,0.0,-1.371,29.00,0.77,27.41,110.146297116058,0.5507,6.6061,7.1568,25.6658,0.8812,1.0133,0.5545,0.7940,100.7599,27.9720,18.0255,5.8941,0.3319,3.7205,0.277608,0.328581,0.453463,0.328060,0.407230,1.4407,0.6442,-0.0227,0.159,0.1363,0.559,13.0031,14.3533,0.33604415,0.767,14.687,0.178,3.564,-1.3707,0.0000,0.29784,0.0027040,0.29784
641343,"15194","2020","Jake","Bauers","CLE",1.042,"1B","L",0.003,0.038,0.206,0.033,0.072,0.267,0.166,0.171,0.044,0.0,8.1,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,-0.967,24.00,0.81,13.92,57.4062807756452,0.0000,6.5417,6.5417,13.8392,0.4593,0.5281,0.2543,0.4279,49.7231,12.1308,7.3534,2.7385,0.1437,1.8951,0.243980,0.334763,0.419185,0.323195,0.379750,1.2180,0.5679,-0.0207,0.164,0.1433,0.060,6.9329,6.9722,0.29740504,0.159,7.413,-0.149,1.858,-0.9665,0.0000,0.09186,0.0016002,0.09186
605548,"16221","2020","Bradley","Zimmer","CLE",1.042,"LF","L",0.006,0.007,0.001,0.010,0.004,0.003,0.007,0.023,0.939,0.0,0.0,0.0,0.0,0.0,11.6,4.2,1.5,0.0,0.0,0.0,-0.584,27.00,0.70,17.33,65.588257835508,0.0656,5.5072,5.5728,20.3986,0.7215,0.6034,0.5248,0.5074,58.2618,13.5595,8.5819,2.8274,0.2983,1.8519,0.232741,0.305151,0.386867,0.296549,0.395010,2.2263,0.6839,0.1300,0.157,0.2870,0.743,7.7570,7.2399,0.32059192,-1.329,6.959,-1.680,2.122,-0.5842,0.0000,0.08623,0.0013147,0.08623
656252,"17278","2020","Bobby","Bradley","CLE",1.042,"1B","L",0.020,0.040,0.020,0.060,0.020,0.280,0.180,0.200,0.180,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.241,24.00,0.78,2.90,11.6394904635973,0.0466,0.8842,0.9308,3.7044,0.0931,0.1071,0.0668,0.0860,10.4628,2.4398,1.2843,0.4887,0.0247,0.6421,0.233192,0.299305,0.468734,0.318638,0.443240,0.0375,0.0157,-0.0020,0.009,0.0070,-0.018,1.4807,1.7167,0.28984409,-0.014,1.457,-0.076,0.377,-0.2413,0.0000,0.00473,0.0004064,0.00473
570267,"10348","2020","Domingo","Santana","CLE",1.042,"LF","R",0.001,0.062,0.142,0.030,0.095,0.596,0.015,0.008,0.051,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,9.2,0.0,0.0,-2.179,27.00,0.83,31.26,130.228038511689,0.2605,14.0589,14.3194,39.9476,1.0418,1.1981,0.4774,0.9301,113.4593,28.7940,17.3337,5.9044,0.3084,5.2475,0.253793,0.340317,0.450021,0.334917,0.447790,1.7431,0.7650,-0.0231,0.207,0.1839,-1.278,16.3041,17.0018,0.34029537,1.679,18.136,0.982,4.214,-2.1789,0.0000,0.18677,0.0014342,0.18677
592261,"11379","2020","Delino","DeShields","CLE",1.042,"CF","R",0.298,0.119,0.008,0.029,0.030,0.024,0.055,0.180,0.258,0.0,0.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.262,27.00,0.82,15.72,65.8920182296295,0.0000,6.5207,6.5207,15.8758,0.5271,0.6062,0.5098,0.4762,57.8582,13.6831,9.6147,2.8005,0.3295,0.9384,0.236497,0.317076,0.344947,0.290228,0.335800,3.2682,1.0663,0.1698,0.343,0.5128,-0.063,7.6522,5.7933,0.30695180,-1.696,6.631,-2.048,2.132,0.2620,0.0000,0.07729,0.0011730,0.07729
516472,"10286","2020","Francisco","Arcia","LAA",0.965,"C","L",0.015,0.029,0.015,0.032,0.050,0.135,0.238,0.218,0.268,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,30.00,0.71,0.25,1,0.0010,0.0444,0.0454,0.2207,0.0150,0.0092,0.0063,0.0076,0.9257,0.1924,0.1400,0.0341,0.0026,0.0157,0.207829,0.254417,0.301093,0.240897,0.280440,0.0084,0.0036,-0.0001,0.000,-0.0001,0.001,0.0868,0.0888,0.25355144,-0.068,0.058,-0.064,0.032,0.0210,-0.0158,-0.00098,-0.0009800,-0.00252
592620,"11624","2020","Jarrett","Parker","LAA",0.965,"OF","L",0.033,0.067,0.033,0.100,0.033,0.133,0.233,0.200,0.167,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-0.012,31.00,0.74,0.25,1,0.0050,0.1004,0.1054,0.3492,0.0080,0.0092,0.0058,0.0074,0.8733,0.1870,0.1129,0.0360,0.0025,0.0356,0.214142,0.302205,0.383398,0.293160,0.410070,0.0060,0.0027,-0.0002,0.001,0.0008,-0.004,0.1121,0.1151,0.30530349,-0.023,0.103,-0.019,0.032,-0.0123,0.0000,-0.00024,-0.0002400,-0.00024
600303,"12371","2020","Tommy","La Stella","LAA",0.965,"2B","L",0.821,0.012,0.003,0.005,0.016,0.023,0.017,0.044,0.058,0.0,9.4,15.7,1.3,0.0,0.0,0.0,0.0,6.3,0.0,0.0,-1.235,31.00,0.74,32.66,147.864013843144,0.1479,11.2809,11.4287,18.5771,1.4786,1.3603,1.3410,0.9557,132.6600,36.5472,25.0536,6.7668,0.3168,4.4100,0.275495,0.337520,0.431003,0.327366,0.342490,0.8279,0.3124,-0.0157,0.092,0.0763,-0.104,19.7099,15.8611,0.29049631,0.941,19.627,1.596,4.785,-1.2351,0.0000,0.49711,0.0033619,0.49711
571718,"12858","2020","Brian","Goodwin","LAA",0.965,"RF","L",0.028,0.017,0.019,0.010,0.028,0.047,0.764,0.032,0.055,0.0,0.0,0.0,0.0,0.0,2.9,1.2,28.7,0.0,0.0,0.0,-1.564,29.00,0.80,32.84,131.946408545088,0.3958,10.4488,10.8446,37.9442,1.0556,1.2139,0.7425,0.9724,118.3313,27.2356,16.6398,6.0291,0.5336,4.0331,0.230159,0.298278,0.392374,0.293729,0.378840,1.9942,0.8027,0.0159,0.083,0.0989,-0.278,14.2602,15.2087,0.30005923,-2.996,13.678,-2.412,4.270,-1.5640,0.0000,0.01116,0.0000846,0.01116
621532,"13854","2020","Anthony","Bemboom","LAA",0.965,"C","L",0.014,0.029,0.014,0.071,0.043,0.029,0.043,0.171,0.586,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,30.00,0.67,2.54,9.91175706652426,0.0198,0.7370,0.7569,2.5915,0.0793,0.0912,0.0700,0.0762,8.9294,1.8685,1.3009,0.3473,0.0424,0.1779,0.209269,0.274830,0.317452,0.257605,0.309970,0.0766,0.0304,-0.0004,0.004,0.0036,0.028,0.9542,0.9106,0.27109458,-0.535,0.718,-0.491,0.321,0.2117,0.1464,0.00712,0.0007183,0.02134
545358,"10059","2020","Max","Stassi","LAA",0.965,"C","R",0.029,0.009,0.024,0.022,0.004,0.035,0.127,0.496,0.254,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.637,29.00,0.72,19.65,76.9700097514785,0.0000,6.7642,6.7642,23.2415,1.0776,0.7081,0.5651,0.5996,67.9636,14.1815,9.0115,2.7316,0.1342,2.3042,0.208667,0.288247,0.354520,0.278543,0.354180,0.4561,0.1936,-0.0132,-0.079,-0.0922,-0.354,8.0986,8.2102,0.27610391,-2.758,6.969,-2.417,2.491,1.6372,3.7722,0.12286,0.0015962,0.48924
545361,"10155","2020","Mike","Trout","LAA",0.965,"CF","R",0.002,0.940,0.045,0.001,0.001,0.001,0.002,0.003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,51.2,0.0,0.5,0.0,0.0,0.791,28.00,0.86,51.70,233.961246760757,5.8490,37.5064,43.3554,47.0467,4.2113,2.1524,1.4676,1.6743,183.2527,54.5054,28.1608,10.2872,0.9123,15.1450,0.297427,0.439027,0.611458,0.426668,0.497730,4.7123,1.5960,0.1643,0.992,1.1563,-0.584,43.3309,38.1196,0.32069339,21.570,51.136,22.605,7.571,0.7913,0.0000,3.06329,0.0130932,3.06329
592743,"10847","2020","Andrelton","Simmons","LAA",0.965,"SS","R",0.003,0.033,0.020,0.056,0.064,0.072,0.027,0.722,0.004,0.0,0.0,0.0,0.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,2.460,30.00,0.85,49.20,195.393398474745,0.3908,12.0766,12.4673,18.3126,1.3678,1.7976,1.3368,1.5439,178.6777,49.7976,35.6329,9.6911,0.6075,3.8661,0.278709,0.327915,0.404661,0.312608,0.319430,3.3079,1.2547,0.0569,-0.113,-0.0561,3.338,21.8595,22.2905,0.29062679,-1.248,23.444,-0.384,6.323,2.4600,0.0000,1.13451,0.0058063,1.13451
405395,"1177","2020","Albert","Pujols","LAA",0.965,"1B","R",0.001,0.001,0.025,0.144,0.787,0.028,0.003,0.004,0.006,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,-3.425,40.00,0.81,39.93,168.433433839892,0.5053,11.2236,11.7289,24.4905,1.1790,1.5496,0.4614,1.3411,153.7230,38.8899,25.1748,6.4485,0.1482,7.1184,0.252976,0.308362,0.435768,0.312758,0.338810,0.6435,0.2680,-0.0330,-1.113,-1.1460,-0.751,20.1128,23.5771,0.25735246,-1.054,20.231,-0.309,5.451,-3.4250,0.0000,-0.01748,-0.0001038,-0.01748
543685,"12861","2020","Anthony","Rendon","LAA",0.965,"3B","R",0.001,0.024,0.912,0.053,0.001,0.001,0.002,0.003,0.003,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.870,30.00,0.87,52.19,230.560937944645,2.3056,24.0471,26.3527,33.7471,2.9973,2.1212,0.3167,1.7527,199.1416,56.7522,32.9216,13.1691,0.8534,9.8081,0.284988,0.373963,0.507446,0.367421,0.393000,1.4239,0.6367,-0.0641,0.436,0.3719,1.476,32.4043,34.9070,0.29836258,9.450,38.586,10.470,7.461,0.8698,0.0000,2.00551,0.0086984,2.00551
