mlbamid,"steamerid","proj_season","firstname","lastname","Team",BasicPF,"position","bats",p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,wRC,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,WAR,WAR/PA,frWAR
663449,"sa876308","2020","Kevin","Santiago",NULL,1.000,"SS","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,22.00,0.26,0.25,1,0.0000,0.0430,0.0430,0.3395,0.0130,0.0092,0.0063,0.0075,0.9302,0.1464,0.1082,0.0226,0.0026,0.0130,0.157428,0.203720,0.229295,0.191102,0.255440,0.0101,0.0041,0.0000,0.001,0.0010,0.000,0.0687,0.0681,0.22795625,-0.111,0.015,-0.111,0.032,0.0041,0.0000,-0.00718,-0.0071800,-0.00718
659910,"sa876536","2020","Brayan","Hernandez",NULL,1.000,"OF","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.004,22.00,0.43,0.25,1,0.0000,0.0370,0.0370,0.3234,0.0090,0.0092,0.0063,0.0075,0.9402,0.1612,0.1164,0.0241,0.0041,0.0167,0.171538,0.208592,0.258988,0.202459,0.274310,0.0151,0.0062,0.0001,0.001,0.0011,0.000,0.0741,0.0769,0.23782093,-0.102,0.025,-0.102,0.032,0.0041,0.0000,-0.00629,-0.0062900,-0.00629
664499,"sa877022","2020","Paul","Brands",NULL,1.000,"C","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,23.00,0.22,0.25,1,0.0000,0.0420,0.0420,0.3457,0.0100,0.0092,0.0063,0.0075,0.9342,0.1398,0.1070,0.0186,0.0018,0.0124,0.149539,0.192912,0.212978,0.179698,0.241950,0.0118,0.0049,0.0000,0.001,0.0010,0.000,0.0649,0.0647,0.21830021,-0.121,0.005,-0.121,0.032,0.0206,0.0000,-0.00655,-0.0065500,-0.00655
660518,"sa877333","2020","Juan","Camacho",NULL,1.000,"C","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,24.00,0.39,0.25,1,0.0010,0.0280,0.0290,0.2605,0.0100,0.0092,0.0063,0.0075,0.9472,0.1714,0.1284,0.0251,0.0021,0.0158,0.181012,0.211787,0.262043,0.204181,0.256560,0.0078,0.0032,0.0000,0.001,0.0010,0.000,0.0734,0.0777,0.22936321,-0.100,0.026,-0.100,0.032,0.0206,0.0000,-0.00451,-0.0045100,-0.00451
658535,"sa877349","2020","Amado","Nunez",NULL,1.000,"SS","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,22.00,0.50,0.25,1,0.0000,0.0350,0.0350,0.3150,0.0080,0.0092,0.0063,0.0075,0.9432,0.1639,0.1239,0.0238,0.0031,0.0132,0.173722,0.208164,0.247353,0.198076,0.265740,0.0090,0.0037,0.0000,0.001,0.0010,0.000,0.0703,0.0723,0.24208835,-0.105,0.021,-0.105,0.032,0.0041,0.0000,-0.00659,-0.0065900,-0.00659
664371,"sa878527","2020","Eddy","Reynoso",NULL,1.000,"C","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,25.00,0.22,0.25,1,0.0000,0.0300,0.0300,0.3006,0.0110,0.0092,0.0063,0.0075,0.9452,0.1431,0.1101,0.0183,0.0018,0.0129,0.151325,0.185197,0.215337,0.175457,0.226090,0.0104,0.0043,0.0000,0.001,0.0010,0.000,0.0638,0.0663,0.20369212,-0.125,0.001,-0.125,0.032,0.0206,0.0000,-0.00693,-0.0069300,-0.00693
665579,"sa879514","2020","Garrett","Hope",NULL,1.000,"C","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,26.00,0.33,0.25,1,0.0000,0.0490,0.0490,0.3366,0.0100,0.0092,0.0063,0.0075,0.9272,0.1432,0.1023,0.0212,0.0020,0.0177,0.154431,0.203467,0.238924,0.194426,0.257700,0.0100,0.0042,0.0000,0.001,0.0010,0.000,0.0718,0.0734,0.21623019,-0.109,0.018,-0.109,0.032,0.0206,0.0000,-0.00538,-0.0053800,-0.00538
665612,"sa879801","2020","Sandy","Mota",NULL,1.000,"3B","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,23.00,0.30,0.25,1,0.0000,0.0310,0.0310,0.3280,0.0100,0.0092,0.0063,0.0075,0.9452,0.1457,0.1111,0.0183,0.0021,0.0142,0.154106,0.187842,0.222943,0.179349,0.242450,0.0131,0.0055,0.0000,0.001,0.0010,0.000,0.0655,0.0684,0.21539722,-0.122,0.005,-0.122,0.032,-0.0123,0.0000,-0.00984,-0.0098400,-0.00984
664331,"sa880736","2020","Carlos","Baez",NULL,1.000,"SS","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,22.00,0.28,0.25,1,0.0000,0.0230,0.0230,0.3060,0.0100,0.0092,0.0063,0.0075,0.9532,0.1464,0.1180,0.0182,0.0018,0.0084,0.153589,0.180536,0.202972,0.168000,0.222310,0.0101,0.0042,0.0000,0.001,0.0010,0.000,0.0592,0.0607,0.21352313,-0.131,-0.005,-0.131,0.032,0.0041,0.0000,-0.00912,-0.0091200,-0.00912
664312,"sa880795","2020","Emilio","Gustave",NULL,1.000,"OF","R",0.050,0.100,0.050,0.050,0.050,0.100,0.150,0.200,0.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.012,25.00,0.47,0.25,1,0.0000,0.0410,0.0410,0.3102,0.0110,0.0092,0.0063,0.0075,0.9342,0.1679,0.1232,0.0244,0.0028,0.0175,0.179730,0.221295,0.267985,0.212631,0.280580,0.0118,0.0051,-0.0001,0.001,0.0009,0.000,0.0768,0.0791,0.24495114,-0.093,0.034,-0.093,0.032,-0.0123,0.0000,-0.00703,-0.0070300,-0.00703
